	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	1	61411	224157	238285	63381	225127	240879	231710	75997	64916	81087	125377	128670	128809	249788	60839	59146	71286	76170	220762	93321	61988	63067	64095	66674	62241	62292	75890	90915	91848	90869	90241	90706	77213	73735	73771	244993	78713	76767	76543	228395	235319	137969	61272	237954	66311	66078	244549	230110	55160	58087	54551	225476	77099	63877	77014	65893
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	61411	1	218433	230489	56800	218808	235278	225475	70185	58797	75708	119209	122518	122896	242382	56361	54249	67618	71176	213758	85631	59194	59855	56738	61347	52854	55038	70925	84295	85561	84398	84265	83610	72035	69163	69126	237981	72773	70725	69988	222733	231065	131514	465	232675	58936	59005	239962	225520	50877	53855	51122	219460	71491	53048	70701	54510
GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	224157	218433	1	236047	224841	43697	240782	231899	226892	225376	229208	219845	224626	225268	253070	196595	196221	212121	222872	48171	225765	221519	227154	224403	229019	226904	224710	224707	225114	227052	225284	225572	225671	222003	222251	222359	244312	227419	223135	226692	48203	232890	240966	218547	235379	229212	229120	247007	50693	204711	213892	203733	46433	223316	222938	222895	225498
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	238285	230489	236047	1	236746	234810	40524	158760	242112	240236	240487	228271	235328	235335	240986	208394	207582	227591	235614	225786	238819	235941	238904	237610	239343	242000	237718	238118	237139	242134	237453	239523	239950	237025	237544	237590	235651	241336	235491	242046	238784	26146	251056	230406	29776	240512	240032	235523	238510	219778	229049	217918	233457	236586	236129	236557	237010
GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	63381	56800	224841	236746	1	226527	241464	233154	75087	58927	79021	126005	129565	129843	252263	59491	57420	71286	74231	220493	88340	58194	60556	55915	62828	49043	49619	74168	86167	87398	86510	86739	86891	74949	74579	74502	247008	77827	73930	74728	227967	235158	138442	56853	237758	61052	60703	246668	230231	52612	55962	52762	226503	74800	49096	74444	60676
GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	225127	218808	43697	234810	226527	1	240297	233506	228245	225501	230210	222372	228876	229438	251567	198359	198120	215100	223865	53423	226857	222076	227524	226375	231651	230332	227885	224880	224716	227830	224739	228608	226395	222200	224819	224780	243673	229733	224319	228803	32731	233217	243953	218878	233446	229828	229683	246318	32820	207203	215946	206162	30088	225143	225473	224484	226328
GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	240879	235278	240782	40524	241464	240297	1	165351	244492	242440	245171	231685	237975	237597	247707	211006	210590	229179	239583	230113	244132	238326	246888	244211	246644	244819	243656	243155	242728	244236	243062	243832	243470	242823	242659	242632	240028	245771	241302	244084	243916	36179	254965	235195	37244	245213	244978	241793	245744	220717	230198	219093	242309	241931	239502	241282	242756
GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	231710	225475	231899	158760	233154	233506	165351	1	235167	232627	234305	221596	227419	227050	237984	204525	203416	220033	230827	224122	234988	228994	232503	234384	233286	234545	234027	233285	232555	232796	232629	233738	232336	230918	232552	232465	230231	235119	231801	234887	232494	157597	243712	225346	159635	235640	235509	230741	235288	209401	218223	207733	233886	232327	231289	231266	233038
GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	75997	70185	226892	242112	75087	228245	244492	235167	1	74065	75679	125406	129720	130779	253435	70536	68671	66792	69748	222356	92740	72069	73880	74527	76260	75607	72914	68353	91052	92490	91249	89437	89873	70416	68621	68521	248167	72446	69152	2105	232283	238307	138750	70201	239923	76964	76584	248860	232964	65378	68811	65302	230830	70632	74051	74170	72498
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	64916	58797	225376	240236	58927	225501	242440	232627	74065	1	78981	127174	130665	130930	250681	58665	56742	71617	75963	221816	88100	48700	49275	57708	61599	56105	53568	73839	87888	88935	87933	87316	86509	74917	72663	72851	246787	75493	73790	73976	228814	239067	137221	58737	239298	62477	62678	245459	231388	54275	57690	54511	225968	74173	54799	75484	61393
