	GCF_002802945.1 | Streptomyces sp. TSRI0384-2 - ST 468:352	GCF_010548725.1 | Streptomyces sp. SID8014 - ST 656:353	GCF_011170105.1 | Streptomyces rutgersensis NBRC 12819 - ST 666:354	GCF_011170125.1 | Streptomyces diastaticus NBRC 13412 - ST 667:355	GCF_014648935.1 | Streptomyces diastaticus JCM 4128 - ST 667:356	GCF_015680775.2 | Streptomyces sp. BRB081 - ST 728:357
GCF_002802945.1 | Streptomyces sp. TSRI0384-2 - ST 468:352	1	70393	25743	24339	24361	34196
GCF_010548725.1 | Streptomyces sp. SID8014 - ST 656:353	70393	1	68561	66127	65820	70988
GCF_011170105.1 | Streptomyces rutgersensis NBRC 12819 - ST 666:354	25743	68561	1	22422	21950	32697
GCF_011170125.1 | Streptomyces diastaticus NBRC 13412 - ST 667:355	24339	66127	22422	1	594	31425
GCF_014648935.1 | Streptomyces diastaticus JCM 4128 - ST 667:356	24361	65820	21950	594	1	30715
GCF_015680775.2 | Streptomyces sp. BRB081 - ST 728:357	34196	70988	32697	31425	30715	1
