	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88
GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	1.0	0.9997693528	0.9647657831	0.9643920361	0.9652634950000001	0.9949089218	0.9942054256	0.9643676487	0.9644462217	0.9643212997	0.9642530121	0.994692384	0.9643086492	0.9945440009000001	0.9642790633	0.9949763142	0.9642709208	0.9643222126000001	0.9290263266000001	0.9950581575	0.9947996585000001	0.9944328358000001
GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	0.9997693528	1.0	0.9648152207	0.9645072211000001	0.9653143139	0.9949776421000001	0.9943629998000001	0.9644800210000001	0.9644745328000001	0.9643343016	0.9643981547	0.9947802618	0.9644244243000001	0.9945856274	0.9643245677000001	0.9950415576	0.9643518790000001	0.9644226928	0.9291428729000001	0.9950834048	0.9948801760000001	0.9944897209
GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	0.9647657831	0.9648152207	1.0	0.9957935915	0.9998002521	0.9659173495000001	0.9657151947	0.9914326447	0.9915083263000001	0.9916241887	0.9921611116000001	0.9650150607	0.9921808251	0.9647028882	0.9917330097	0.9647717801000001	0.9916475279	0.9922028212	0.9291634995	0.9679285561000001	0.9647410246	0.9648935632000001
GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	0.9643920361	0.9645072211000001	0.9957935915	1.0	0.9960284049	0.9656628915000001	0.9654358286	0.9917613102	0.9915808986	0.9916826071	0.9925383215	0.9646268265000001	0.9925665061000001	0.9644908012000001	0.9919572005	0.9644931071	0.9919930378	0.9925782513	0.9289487498000001	0.9676198491	0.9644200762	0.9643809732
GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	0.9652634950000001	0.9653143139	0.9998002521	0.9960284049	1.0	0.9664290706	0.9662136216	0.9918464361	0.9918249632	0.9919863684	0.9924906621	0.9655703822	0.992509893	0.9652407763	0.9921011631000001	0.9652800656	0.9919452559	0.9925143692	0.9294269982000001	0.9682583388	0.9652612012	0.9653919352
GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	0.9949089218	0.9949776421000001	0.9659173495000001	0.9656628915000001	0.9664290706	1.0	0.9950977505	0.9654353715	0.9654678967	0.9653706403000001	0.965328595	0.9951478091	0.9654413117	0.9950612928	0.9653124249	0.9996442820000001	0.9651997061	0.9653931875	0.9312579345	0.9955393098	0.9950589311	0.9953310473
GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	0.9942054256	0.9943629998000001	0.9657151947	0.9654358286	0.9662136216	0.9950977505	1.0	0.9654035223	0.9655481595000001	0.9654042180000001	0.9653401142	0.9953591144	0.9654351595	0.995254535	0.9653910446	0.9951485115	0.9652075952	0.9653584418000001	0.9308553378000001	0.9956165842	0.9955263496000001	0.9948387741
GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	0.9643676487	0.9644800210000001	0.9914326447	0.9917613102	0.9918464361	0.9654353715	0.9654035223	1.0	0.9966776939	0.9960259458	0.9959185374	0.9646230441	0.9959025993	0.9644039189	0.9960054057000001	0.9644359426	0.9964008975	0.9959891258	0.9291008366	0.9673492434000001	0.9644645725000001	0.9645786103
GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	0.9644462217	0.9644745328000001	0.9915083263000001	0.9915808986	0.9918249632	0.9654678967	0.9655481595000001	0.9966776939	1.0	0.9959084586	0.9960784500000001	0.9646216054000001	0.9960450932	0.9644693577000001	0.9957900112	0.9646233446	0.996319528	0.9960888565	0.9291877762	0.9673529792000001	0.9645549675	0.9644233639
GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	0.9643212997	0.9643343016	0.9916241887	0.9916826071	0.9919863684	0.9653706403000001	0.9654042180000001	0.9960259458	0.9959084586	1.0	0.9953976781	0.9645275041	0.995370627	0.9642414207000001	0.9955534598	0.9642961465000001	0.9956541583	0.9954231920000001	0.9290861146	0.9672845062000001	0.9643392996000001	0.964395984
