	GCF_001278075.1 | Streptomyces pristinaespiralis HCCB 10218 - ST 124:480	GCF_009832925.1 | Streptomyces sp. Tu 2975 - ST 616:481	GCF_014070435.1 | Streptomyces pristinaespiralis PR11 - ST 124:482
GCF_001278075.1 | Streptomyces pristinaespiralis HCCB 10218 - ST 124:480	1	422333	937
GCF_009832925.1 | Streptomyces sp. Tu 2975 - ST 616:481	422333	1	422427
GCF_014070435.1 | Streptomyces pristinaespiralis PR11 - ST 124:482	937	422427	1
