run_id,genome1,genome2,unique_taxa_names_per_connected_component,coverage,identity,comparision_type_species,comparision_type_genus,cluster_id,genome1_ST,genome2_ST,unique_taxa_names_per_ST
1.0,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.9789097602,0.9995054981,intra,intra,0,12,12,1
1.0,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,1.0026637015,0.9998793674,intra,intra,0,12,12,1
1.0,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.986925204,0.9999465797,intra,intra,0,12,12,1
1.0,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.9890734902,0.9999476036,intra,intra,0,12,12,1
1.0,GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43,GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5,11,0.9999040317,1.0,intra,intra,1,253,253,1
1.0,GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16,GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15,11,0.9974594624,0.9988424866,intra,intra,2,376,376,1
1.0,GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15,GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16,11,0.99932073,0.9988424866,intra,intra,2,376,376,1
1.0,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,11,0.9280692596,0.9995054981,intra,intra,0,12,12,1
1.0,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,11,0.9493441227,0.9994616549,intra,intra,0,12,12,1
1.0,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,11,0.9405737439,0.9994888715,intra,intra,0,12,12,1
1.0,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,11,0.9409510499,0.999515281,intra,intra,0,12,12,1
1.0,GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53,GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19,11,0.9952712756,0.9997827232,intra,intra,3,417,417,1
1.0,GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26,GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24,11,0.995255555,0.9998409038,intra,intra,4,449,449,1
1.0,GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24,GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26,11,0.9825777293,0.9998409038,intra,intra,4,449,449,1
1.0,GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34,GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33,11,0.9986557594,0.9998048197,intra,intra,5,482,482,1
1.0,GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33,GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34,11,0.9926581491,0.9998048197,intra,intra,5,482,482,1
1.0,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,11,0.9942594889,0.9998793674,intra,intra,0,12,12,1
1.0,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,11,0.9929568782,0.9994616549,intra,intra,0,12,12,1
1.0,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,11,0.9963930119,0.9998721954,intra,intra,0,12,12,1
1.0,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,11,1.000789669,0.9998767518,intra,intra,0,12,12,1
1.0,GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5,GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43,11,0.9999040317,1.0,intra,intra,1,253,253,1
1.0,GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49,GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48,11,0.9982246915,0.9999570609,intra,intra,6,655,655,1
1.0,GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48,GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49,11,0.9648567345,0.9999570609,intra,intra,6,655,655,1
1.0,GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52,GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50,11,0.9979105234,0.9998431911,intra,intra,7,51,51,1
1.0,GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50,GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52,11,0.99984412,0.9998431911,intra,intra,7,51,51,1
1.0,GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19,GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53,11,0.9541224891,0.9997827232,intra,intra,3,417,417,1
1.0,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,11,0.9966563027,0.9999465797,intra,intra,0,12,12,1
1.0,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,11,1.0018813666,0.9994888715,intra,intra,0,12,12,1
1.0,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,11,1.0147227534,0.9998721954,intra,intra,0,12,12,1
1.0,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,11,1.005967834,0.9999430056,intra,intra,0,12,12,1
1.0,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,11,0.9871014608,0.9999476036,intra,intra,0,12,12,1
1.0,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,11,0.9905183712,0.999515281,intra,intra,0,12,12,1
1.0,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,11,1.0072368236,0.9998767518,intra,intra,0,12,12,1
1.0,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66,11,0.9941596896,0.9999430056,intra,intra,0,12,12,1
2.0,GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68,GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67,4,1.0112375049,0.9997693528,intra,intra,0,286,286,3
2.0,GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88,GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67,4,0.9437438495,0.9944328358,intra,intra,0,286,286,3
2.0,GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67,GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68,4,1.0109661206,0.9997693528,intra,intra,0,286,286,3
2.0,GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88,GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68,4,0.9448232871,0.9944897209,intra,intra,0,286,286,3
2.0,GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70,GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69,4,0.9593849304,0.9957935915,intra,intra,0,18,18,2
2.0,GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71,GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69,4,1.0317619609,0.9998002521,intra,intra,0,18,18,2
2.0,GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69,GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70,4,0.9728037961,0.9957935915,intra,intra,0,18,18,2
2.0,GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71,GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70,4,0.973429265,0.9960284049,intra,intra,0,18,18,2
2.0,GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69,GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71,4,1.0276497746,0.9998002521,intra,intra,0,18,18,2
2.0,GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70,GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71,4,0.9561755924,0.9960284049,intra,intra,0,18,18,2
2.0,GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73,GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72,4,0.8582557080000001,0.9950977505,intra,intra,8,355,355,1
