	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	1	207122	193782
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	207122	1	235439
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	193782	235439	1
