	GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729
GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	1	531	485
GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	531	1	159
GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729	485	159	1
