	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	1	181943	183063
GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	181943	1	48695
GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	183063	48695	1
