	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9987408240000001	0.9691994101	0.9942196191	0.9949121339	0.9990245302	0.9982937630000001	0.9948154019000001	0.9956986628000001	0.9946168853
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	0.9987408240000001	1.0	0.9709530378000001	0.9950577959	0.9957863202	0.9996477188	0.9988813987	0.9956689115	0.9963632563	0.9953097293000001
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.9691994101	0.9709530378000001	1.0	0.9704360108000001	0.9705149723000001	0.9707337577	0.9719367002	0.9703801919	0.9708267036	0.9705313634
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9942196191	0.9950577959	0.9704360108000001	1.0	0.9958579966000001	0.9951162676	0.9953510647	0.995432057	0.9958631504000001	0.9959524775
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.9949121339	0.9957863202	0.9705149723000001	0.9958579966000001	1.0	0.995810724	0.9957244636	0.9958725256000001	0.9960947769	0.9990226945
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9990245302	0.9996477188	0.9707337577	0.9951162676	0.995810724	1.0	0.9990132395	0.995750071	0.9964527472	0.9954620772
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9982937630000001	0.9988813987	0.9719367002	0.9953510647	0.9957244636	0.9990132395	1.0	0.9953181613000001	0.9956985206000001	0.9952734597
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9948154019000001	0.9956689115	0.9703801919	0.995432057	0.9958725256000001	0.995750071	0.9953181613000001	1.0	0.9982018573	0.9958878584
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.9956986628000001	0.9963632563	0.9708267036	0.9958631504000001	0.9960947769	0.9964527472	0.9956985206000001	0.9982018573	1.0	0.9961360565
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.9946168853	0.9953097293000001	0.9705313634	0.9959524775	0.9990226945	0.9954620772	0.9952734597	0.9958878584	0.9961360565	1.0
