	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	1.0	0.8319921118	0.9394381384	0.9202942156	0.8182578498	0.8318745963	0.8317804670000001	0.7834166880000001	0.9364564011000001	0.9422697657	0.9387282218	0.9469421772000001	0.9327906182000001	0.9308217946	0.9294928752	0.9282541387000001	0.9241248711000001	0.9289592319000001	0.9176939653	0.9279075849	0.9254010254	0.9238961250000001	0.9235212154	0.94257744	1.0204289931	0.8391396577	0.9353598818000001
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.7753770501	1.0	0.8087320874	0.7983538114000001	0.7552408326000001	0.7697114913	0.7697010026000001	0.7593490165	0.7969084073	0.8081233313	0.8025584373	0.8092332316	0.8117374544	0.8024545034	0.7990854356	0.7993676783	0.8111021359	0.8001574674	0.8006767286	0.807579551	0.7998622841	0.7993447938	0.7993810276000001	0.8065782161	0.7753662889	0.894790225	0.7985857898000001
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.8987796085	0.8302253009	1.0	0.911989935	0.8160142959000001	0.8291457539	0.8287712686	0.775350615	0.9477166463000001	0.9658177960000001	0.9375683457	0.9299463527	0.9336314953	0.9362594649	0.9114957487	0.9044793927	0.9089199384000001	0.9043096297000001	0.9041903482	0.9086722859	0.9103745301	0.9102822372	0.9100951344	0.9268528633	0.8990142562000001	0.8273422673	0.9205547137000001
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	0.9056758417	0.843039183	0.9381042707	1.0	0.8399083209	0.8541784407	0.8538178292	0.7982813486	0.9161278231000001	0.9361051565	0.9346394079	0.93931283	0.9350390006	0.9342342053	0.9308711826	0.9206480536	0.9310055309	0.921590937	0.9216270413000001	0.9230730836000001	0.9249792760000001	0.9294221196	0.9292149873000001	0.9435754398	0.9056338399	0.8454810424	0.9284099044
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	0.8235797335	0.8156563082	0.8584761114	0.8590160206	1.0	0.9593101166	0.9583365147	0.7881229975	0.8318790356	0.8493551763	0.8589317241000001	0.8652586658	0.8650775682	0.8583379711	0.8465285235000001	0.8462865206	0.8540053099	0.8461658869	0.8504730973	0.8586535311	0.8465695683000001	0.8489717966	0.848452042	0.8591114977000001	0.8235098542	0.8118962156	0.8517019425000001
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	0.8147381380000001	0.8088992277	0.8488013113	0.8500856769	0.9334772495	1.0	0.9646720731	0.7781205488	0.8226762388000001	0.8404931609	0.8496189992000001	0.8573293441000001	0.8565793674000001	0.8491975578000001	0.8372132473	0.8378121980000001	0.84532943	0.8377776982	0.8411340553000001	0.8495136389	0.8369917902	0.839686782	0.8392870998	0.8501447989	0.8145185418	0.803317849	0.8423333882
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	0.8155223463	0.8097584093	0.8493306791	0.8506409318	0.9335330837	0.9657098702	1.0	0.7784126581	0.8235713079	0.8409903751000001	0.8501522562	0.858213972	0.8575432969000001	0.8496962544000001	0.8380055841	0.8383260178	0.8461527107	0.8383492334	0.8417969049	0.8504473246	0.8379549968000001	0.8402030483	0.8398611187	0.8508355423	0.8158195643	0.8037729203	0.8427258187000001
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	0.7653480874	0.7960014959	0.7917339993	0.7924576717	0.7649705440000001	0.7761629057	0.7756198658	1.0	0.7753972523	0.7922020731	0.7893359421	0.7968733869	0.7903429148000001	0.7882320133	0.7883992233	0.7858542326	0.7875931596	0.7857909755	0.7869804370000001	0.7873958204	0.7845835221	0.7846363553	0.7841945554	0.7953085239000001	0.7651110519000001	0.7932505984	0.7858715105
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	0.9193342986	0.8394610989	0.9724771063000001	0.9138941187	0.811391791	0.8246215313	0.8246315757	0.7791910859000001	1.0	0.9973715291	0.9434276104	0.9378260029000001	0.9436579137000001	0.9408909738000001	0.9182658636000001	0.9148809074	0.9194588490000001	0.9156548986	0.9112586168000001	0.919263127	0.9212989794	0.9216476629	0.9213486274	0.9310034293	0.9191976951	0.8323581436	0.9308022547
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	0.9007129357	0.8288864792	0.9649866912	0.9092633584	0.8066497637000001	0.820323482	0.8199266847000001	0.7751414044	0.9711408215	1.0	0.9378595888000001	0.9325236433	0.9364800196	0.9330573636	0.9144391878	0.9081234045000001	0.910635802	0.9088711718	0.9050070089000001	0.9105459637000001	0.9195601083	0.9124202720000001	0.9121374841000001	0.9259347126	0.8969739596	0.8282458752	0.9252288605000001
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	0.9119779834	0.8366183971000001	0.9520557759	0.9226616649	0.8290632261	0.8427689192000001	0.8423916292	0.7849467129000001	0.9336135815000001	0.9531717419	1.0	0.9463955745	0.9543497613	0.9538986321	0.9295867887	0.9193965519	0.926109672	0.9195354264000001	0.9245221290000001	0.9260230529000001	0.9274555335	0.9322313683000001	0.931887164	0.943548931	0.9122342907000001	0.8362851267	0.9356452958
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	0.896447403	0.822018001	0.9201830408	0.9035777249	0.813826523	0.8286838163	0.8286474251	0.7721905686	0.9043524561	0.9235279866	0.9222094630000001	1.0	0.9300727284	0.9158768417	0.9052961365000001	0.9084923349	0.9110130132	0.9092036929	0.8987562375	0.9234405370000001	0.9047281294	0.9026990782000001	0.9010427945	0.9184108035	0.8930984445	0.8178503099000001	0.9087632625000001
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	0.8963223657	0.8369546287	0.9377142904	0.9129851186	0.8258851249	0.8404027971	0.84044437	0.7773729876000001	0.9236527972	0.9413853516	0.9439373136	0.9440513583000001	1.0	0.9587035808000001	0.9164588487	0.9073403247	0.9253784966	0.9081351267000001	0.9129473377	0.9217276600000001	0.9126375068	0.9199251350000001	0.9196095456000001	0.9327251134000001	0.8964611296	0.8297380679	0.9188572997000001
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	0.9158952296	0.8472389992	0.9629205415000001	0.9340904387000001	0.8391162048	0.8531547361	0.8527383780000001	0.7939024462000001	0.9430455179	0.9604537455000001	0.9661331866	0.9519518423000001	0.9817107328	1.0	0.9336056224	0.9226718714000001	0.9323973929	0.9235638414	0.9296636675000001	0.9252653726000001	0.9281885085	0.9374338160000001	0.9372569177000001	0.9474571881	0.9158723623	0.8472927878000001	0.9381159529
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	0.913278087	0.8424738971	0.9361093786	0.9293952897000001	0.8263862789	0.8399102471000001	0.8398016751	0.7929338849	0.9190507874	0.9399411384	0.9401614420000001	0.9396070927	0.9371084998	0.9322688583000001	1.0	0.9346697938	0.9357477590000001	0.9354589517	0.9333238452	0.9386777678	0.9559109933000001	0.9425500268	0.9423070322	0.9548241241000001	0.9128996646	0.8447254743	0.9340669031000001
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	0.8873199017000001	0.8199099908	0.9037056163	0.8942539691	0.803739442	0.8177109683	0.8173331707	0.768934137	0.8908241703	0.9081279722000001	0.9046315279	0.9173461505	0.9026169332	0.8963577039	0.9093154360000001	1.0	0.9330694618	1.0028604478	0.9309518949000001	0.9405685491	0.9144639067	0.9108259279	0.9106581265	0.9144302347000001	0.8871189871	0.8205377441	0.9017621381
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	0.8834446884	0.8320137751000001	0.9082163425	0.9043881751	0.8111362407	0.8251150532	0.8250310758	0.7706984013	0.8953546669	0.9107145652	0.9113110701	0.9199663308	0.9206361937	0.9058796471	0.9104383201	0.9331454718000001	1.0	0.9337183625000001	0.9271801425	0.9423850809000001	0.9150945242	0.9144372369	0.9140779925	0.9186987053000001	0.8835605241000001	0.8195584326	0.9053668401
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	0.8865698941	0.8194039505	0.9020870674	0.8937343061	0.8023361619	0.8163660501000001	0.8160450744000001	0.7676392607	0.8901480547	0.9074182492	0.9033172650000001	0.9165922117	0.9019588724000001	0.8957854259	0.9086237564	1.0012522377	0.9321450955	1.0	0.9313890380000001	0.9410650395000001	0.9134028209	0.9100205098	0.9098369357	0.9134342070000001	0.8864369563000001	0.818973472	0.9011678019
GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	0.8638410295000001	0.8087223104	0.889632818	0.8815461837	0.7953917123	0.8084273254000001	0.8081949422	0.7582871663	0.8737590748	0.8912032279000001	0.8957953079000001	0.8936686366000001	0.8943378563000001	0.8893701657	0.8941519773000001	0.9167477738	0.9129591977	0.9186514177	1.0	0.9137137209	0.8978950123	0.9054392814000001	0.9052333147	0.9010205601	0.8638334623	0.8073006313000001	0.8831564937
GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	0.8897172251000001	0.8308810494000001	0.9106878303	0.8993676669	0.817993332	0.8316822747	0.8317016151000001	0.7728126037	0.8978446800000001	0.9133516208	0.9139545369000001	0.9353084465	0.9197500715	0.9016424068000001	0.9160239602	0.943461969	0.9452070902	0.9454761741000001	0.9307251909	1.0	0.9203801763	0.9144049721	0.9143905369	0.9214528681	0.889700127	0.8232090750000001	0.9066044821
GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	0.8913000786	0.8266381677	0.9164927713000001	0.905273651	0.8101046976	0.8231045122	0.8231661727	0.7735118448	0.9038755899	0.9265373851	0.9194806325	0.920472269	0.9147706404	0.9085543293	0.9370320645	0.9213978809000001	0.9219581753	0.9218069803000001	0.9187208564	0.9245149758000001	1.0	0.9224841199	0.9220671371	0.9320177115	0.8879108608	0.8254668991	0.9130386551
GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	0.9081149272000001	0.8430592268	0.9352090778000001	0.928291945	0.8290781337	0.8427035075	0.842315463	0.7894414272	0.9227768581	0.9382130101	0.943185036	0.9372583432	0.9410010110000001	0.9364380049000001	0.9428988514000001	0.9365688855000001	0.9402056707	0.9372436892	0.9454554048	0.9373655188000001	0.9414182198000001	1.0	1.002670194	0.9474872866	0.9081972484	0.8446523497	0.9282268639000001
GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	0.9080837953	0.8434107885000001	0.9353643605	0.9284299975	0.8288785056	0.8426154401	0.8422856019	0.7892901609	0.9228203049	0.9382708171	0.9431872028	0.9358863528	0.9410278046	0.9366092662000001	0.9430061152	0.9367443633	0.9401856033	0.93740289	0.9455916442000001	0.9376990976	0.9413424084	1.0030428472	1.0	0.9476421024	0.9081632726000001	0.8447463817	0.9286222953000001
