	GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367
GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	1	500	500	666	409	0	163459	649	32322	381
GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	500	1	0	988	724	500	163591	970	32574	694
GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	500	0	1	988	724	500	163591	970	32574	694
GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	666	988	988	1	792	666	161297	0	32306	789
GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	409	724	724	792	1	409	162629	772	32342	0
GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	0	500	500	666	409	1	163459	649	32322	381
GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	163459	163591	163591	161297	162629	163459	1	160729	159332	162149
GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	649	970	970	0	772	649	160729	1	32241	770
GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	32322	32574	32574	32306	32342	32322	159332	32241	1	32162
GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367	381	694	694	789	0	381	162149	770	32162	1
