	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	1.0	0.6161852404	0.6515927528000001	0.6538647874	0.630085031	0.6477861083	0.6499317184	0.6365376258000001	0.6474743231	0.5851622983	0.5805282792	0.6367874867000001	0.6500660766	0.6407256045	0.6497847899	0.6500711254	0.6450076545	0.6490126422	0.6490134665	0.6449478939000001	0.6492835224	0.6440117139	0.649383879	0.6492440599	0.6538740606	0.6531815594
GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	0.6951245112000001	1.0	1.0059697277	0.8968543246	0.8460269619	0.8910314021	0.895828897	0.8721563039	0.8942904069000001	0.8048720017000001	0.7788425058	0.8765718497	0.8963853153	0.8934924517	0.8959116565	0.8913617428	0.8801965306	0.8971812945000001	0.893087488	0.8864933444	0.8948836717	0.883136702	0.8949315607	0.8954479940000001	0.8967452960000001	0.8962550156
GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	0.6960492177000001	0.9525708884	1.0	0.8991073375	0.847539331	0.8930537470000001	0.8980890135	0.8753384095000001	0.8967146283	0.7979931137	0.7836486355000001	0.8797426718	0.898652988	0.8828360566000001	0.8984086431	0.893672534	0.8795263935000001	0.8908132581	0.8953643475	0.8892151102	0.8971015078000001	0.8676277861	0.8972040887	0.8975926191	0.8990455909	0.8981787167
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	0.6580350193000001	0.8000767533	0.8470497022	1.0	0.9275239631000001	0.8956043779	0.999049139	0.8780635327	1.0066565456	0.8772554563	0.8670529354000001	0.9771216825000001	0.9994497034000001	0.9726998159	0.9990487242	0.8981256632	0.9598979292	0.8789989435000001	0.9975792966	0.9965418522	1.0000915606	0.8708901832	0.9979427391000001	1.0032194474	1.00394851	0.9737993721
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	0.6856279419	0.8160602774	0.8633472364	1.0028902943	1.0	0.9047534852	0.9949921299000001	0.8887425622	1.0078654259	0.9244613927	0.9340629685	0.9737317221	0.9975810505	0.9714227605	1.0019892006	0.9103162282	0.98887059	0.8841602927000001	1.0006993931	1.0061706477	0.9987757817	0.8830213963	0.9963199453	0.9969081173000001	1.0027270502	0.9701647946
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	0.669791283	0.8166755606	0.8644139230000001	0.9201592834000001	0.8597036671	1.0	0.9203174887000001	0.8951886313	0.918468884	0.8088322011	0.7963349430000001	0.8964609852000001	0.9205713629000001	0.9002403335	0.9200993039	0.9133643401	0.8948006289	0.8975064185	0.9163951697	0.9106846517	0.9190626066	0.9025178503	0.9192256059	0.9194244013	0.9208581566	0.9177776814
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	0.6577579375	0.8036595717	0.8508520405000001	1.0046716761	0.9253982306	0.9007995896000001	1.0	0.8828225887000001	1.0080583571	0.8827075721000001	0.8683111017	0.9831648231000001	1.0064520872	0.9799122412000001	1.0125518252	0.9029674909000001	0.9639302518	0.8832701420000001	0.9952639855000001	0.9982545214	1.0032154596	0.8758464096	1.0009138762	1.0063490623	1.001346518	0.9716684811
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	0.6489252035	0.7881585206	0.8353776336000001	0.8894784818	0.8326398553000001	0.8826271033	0.8892945557	1.0	0.8868784117	0.7855718957000001	0.7712798609	0.8669851918	0.8892107333	0.8705308374	0.8888734479	1.0054225111	0.8663687085	0.8724056021000001	0.8872766207	0.8802357489	0.8878106471	0.858774798	0.8878201007000001	0.8882252423	0.8900466464000001	0.8866974268000001
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	0.6579187015	0.8055211392	0.8529827167	1.0164123809	0.9411587459	0.9026227353	1.012131614	0.883981554	1.0	0.8889746827	0.8788804821	0.9901947646	1.0142769705	0.9845093760000001	1.0163909179	0.9048387627000001	0.9690298499000001	0.8846699401	0.9973675906	0.9967317627000001	1.0006136321	0.8762278662	1.0028975034	1.0030377981	1.0141208666	0.9832309147
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	0.675049224	0.8230659100000001	0.8617762967	1.0055973655	0.9800732551	0.9024220067000001	1.0061844286	0.8889441601	1.0092501365	1.0	0.9161105970000001	0.9879140361000001	1.0125395441	0.9860182942000001	1.0062273381	0.9121786174000001	0.9670412626	0.8825530291	1.0006023964	1.0006784685	1.0000624029	0.8910905835	0.9991364622000001	1.0006549337	1.0037883934	0.9722806135000001
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	0.6809819421000001	0.8098611194	0.8605376828	1.0106406714	1.0069294052	0.90344169	1.0064430463	0.8874699259000001	1.0145941502	0.9315389463	1.0	0.986364789	1.0067006086	0.9805683679	1.0060988242	0.9110833499000001	0.9958873427	0.8823705305	1.0060576094	1.0059727625	1.0072645625	0.8807517919000001	1.0021482461	1.0035849628	1.0065229378	0.9736781228
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	0.6605517413	0.8060250317000001	0.8542879383	1.007163353	0.9282443052	0.8993647336	1.0077209492	0.8821723444	1.0108419703	0.8883259962000001	0.8722433484000001	1.0	1.0029297047	0.9762000369	1.0031896384	0.9028761896	0.9594741815000001	0.8830529338	0.9915371924	0.9907843253	1.0017077386	0.8746846086000001	0.9982635105000001	1.000643742	1.0034353569	0.9733619289000001
GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	0.6578475415	0.8041020600000001	0.8513263409	1.0050036515	0.9277406743000001	0.9009845686	1.0063811467	0.8826771558000001	1.0101238755	0.8882201899000001	0.868472095	0.9784213619000001	1.0	0.9786480423	1.0029999178	0.9029874681000001	0.959935858	0.8833775294	0.9934684977	0.9933727789000001	0.9998882238000001	0.8749870185	0.9980544483	1.0024467718	1.0013256736	0.9719686868
GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	0.6632917012	0.8199210961000001	0.8555567893	1.0005764139	0.9241690343000001	0.9013284720000001	1.0023544013	0.8839874149	1.003003987	0.8848269697000001	0.8653626528	0.9742243558	1.001131815	1.0	1.0021513125	0.9049312725	0.9684145641	0.8925710120000001	0.9940243453000001	0.9966497806000001	0.9982373723	0.8906589476000001	0.9985667516000001	1.0028419639	0.9994093997000001	0.9692965713
GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	0.6526213742	0.7976376183	0.844698979	0.9970509812	0.9248375334000001	0.8937552247	1.0048717745	0.8757116421000001	1.0046223751	0.8760497284000001	0.8614303688	0.9713203081	0.9954624828	0.9722827208	1.0	0.8961087895000001	0.9568608333	0.8765746055	0.9879432454	0.9863870344000001	0.994318557	0.8682969248	0.9924595481	0.9968255903000001	0.9976074213	0.9684429011000001
GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	0.6478381279000001	0.7874233829	0.8337202202	0.8893683659	0.8336976302	0.880322535	0.8891588956	0.9828419184	0.8874157742000001	0.7880003503	0.7740188242	0.8674041732000001	0.8892412462	0.8711415751	0.8891491409000001	1.0	0.8667741195	0.8707177058000001	0.8871620482	0.8805002767000001	0.8878353309	0.8570960784	0.8878628495	0.8881922518	0.8900360012	0.8865721429000001
GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	0.6787772750000001	0.8210900068	0.8664581632	1.003752	0.9563404820000001	0.9107115517000001	1.0023275563	0.8943234559000001	1.0035751508	0.8821619578000001	0.8934297767	0.9733821933000001	0.9982444114000001	0.9844445375	1.002580957	0.9152984620000001	1.0	0.8922882266000001	1.0009763029	0.9945503130000001	0.9994721632	0.8904803748000001	1.0018011291	0.9986596979000001	1.0030843971	0.9814953525000001
