	GCF_000226455.1 | Streptomyces chartreusis NRRL 12338 - ST 242:210	GCF_009862985.1 | Streptomyces sp. SID5464 - ST 242:211	GCF_900236475.1 | Streptomyces chartreusis NRRL3882 - ST 242:212	GCF_900236505.1 | Streptomyces chartreusis NRRL3882 - ST 242:213
GCF_000226455.1 | Streptomyces chartreusis NRRL 12338 - ST 242:210	1	0	1906	1906
GCF_009862985.1 | Streptomyces sp. SID5464 - ST 242:211	0	1	1906	1906
GCF_900236475.1 | Streptomyces chartreusis NRRL3882 - ST 242:212	1906	1906	1	0
GCF_900236505.1 | Streptomyces chartreusis NRRL3882 - ST 242:213	1906	1906	0	1
