	GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367
GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	1.0	0.9961046283	0.9961046283	0.9904022421	0.9927236582000001	1.0	0.9050292402000001	0.9883613597	0.9456665642000001	0.9917991109000001
GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	0.9909696412000001	1.0	1.0	0.9845950414	0.9872108157	0.9909696412000001	0.8999368028	0.9826749731000001	0.9441230615	0.9861815464
GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	0.9909696412000001	1.0	1.0	0.9845950414	0.9872108157	0.9909696412000001	0.8999368028	0.9826749731000001	0.9441230615	0.9861815464
GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	0.9999467569	0.999234715	0.999234715	1.0	0.9995530844	0.9999467569	0.9095287383	0.9978179844	0.9542618274	0.9984455999
GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	0.9996210928	0.9992209993000001	0.9992209993000001	0.9968909236000001	1.0	0.9996210928	0.909682234	0.9948074771000001	0.9559167925000001	0.9988075966000001
GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	1.0	0.9961046283	0.9961046283	0.9904022421	0.9927236582000001	1.0	0.9050292402000001	0.9883613597	0.9456665642000001	0.9917991109000001
GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	0.8909809602000001	0.8905584593	0.8905584593	0.8868639001	0.8893823082000001	0.8909809602000001	1.0	0.8848700996000001	0.8853243345	0.8882972431
GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	1.0000683712	0.9994669502	0.9994669502	1.0	0.9996453158	1.0000683712	0.9094684581	1.0	0.9551533951000001	0.9992692059
GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	0.9493116071000001	0.9526732504000001	0.9526732504000001	0.9487964413000001	0.9529800483	0.9493116071000001	0.9027496859	0.9476106798	1.0	0.9483210806000001
GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367	0.9998823849	0.9993708614000001	0.9993708614000001	0.9969751853000001	1.0	0.9998823849	0.9096570807000001	0.9956203685	0.9523790876	1.0
