	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88
GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	1.0	1.010732944	0.8597778239	0.8614982790000001	0.8578414292000001	0.8736720578	0.9119738191000001	0.8520168036	0.8519236766	0.8519431878	0.8553925966	0.950840447	0.8541493874	0.9498264642	0.8547115009	0.9622409607	0.8526810215	0.8551461333	0.7362646386	0.7922853037	0.9545306933000001	0.9648383415
GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	1.0110042657	1.0	0.8600693276	0.8615708943	0.8580145961000001	0.8738280422	0.9106423499	0.8519527731000001	0.8521381192	0.852273896	0.8554806947	0.9511290965	0.8543602369000001	0.9500578488	0.8550037997000001	0.9623971332000001	0.8529202127000001	0.855313548	0.7362793305	0.7913049694000001	0.9546648008	0.9662564747000001
GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	0.8755393847	0.8756011854	1.0	0.9687117860000001	1.0274445037	0.7985408455	0.8450789586	0.9339819927	0.9306359791000001	0.9348166068	0.9593978004	0.8760543905	0.9587422499	0.8829839908	0.9348402544000001	0.8762780675	0.9335289096	0.9593586722	0.7430856365	0.7455928917	0.8747253709	0.8759713801000001
GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	0.8651900130000001	0.8650307302	0.9553493655	1.0	0.9523780501	0.7894590372	0.8357677755	0.9235321159000001	0.9265283154	0.9261727241000001	0.9451541845	0.8701383584	0.9434998073	0.8676624426	0.9294437316	0.8659640672000001	0.9256098848000001	0.9439912398	0.7369412750000001	0.7389540085	0.8661316448	0.8683842041000001
GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	0.8770631109	0.8770047344	1.0315558686	0.9695631981	1.0	0.7998237690000001	0.8468097605	0.9349836221000001	0.9318245596	0.9362646010000001	0.9591133135000001	0.8772097253000001	0.9585132715	0.8845338354000001	0.9353785509	0.8777961828	0.9347176847	0.9590420868	0.7452742870000001	0.7471030504	0.8758537258	0.8777451492
GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	0.9592944863	0.9592082673000001	0.8610159365000001	0.8631296176000001	0.8589620567	1.0	0.9038315826000001	0.8530757662	0.8542020026	0.8556302685	0.8562753342	0.9500503843	0.8552801350000001	0.9526044923	0.8546840933000001	1.0031567214	0.8552209909	0.8562297275	0.7416969145000001	0.8743566265	0.9558260094000001	0.9665880137
GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	0.9461953407	0.9445603503000001	0.8610061928	0.8634296796	0.8593309642	0.8540483244	1.0	0.851667684	0.8521830817	0.8537647936	0.8547856536	0.9423909608000001	0.8541748763	0.9480152533	0.8542318805	0.9431203416	0.8547549781	0.8549980222	0.7375063571	0.792478299	0.940557387	0.9474558916
GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	0.8828635023	0.8825602387	0.950373808	0.9528846315	0.9476011483000001	0.8050623303000001	0.8505838598000001	1.0	0.9793226370000001	0.9782442840000001	0.963354107	0.8845619020000001	0.9630282692000001	0.8846028333	0.9775856626	0.8835518919	0.9848966082	0.9643308760000001	0.757486795	0.7526611219	0.8806879431	0.8833710501
GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	0.8606592674	0.860644877	0.9232534778	0.9320348983000001	0.9207482147	0.7859368362	0.8297839587	0.9547967922	1.0	0.9620716931000001	0.9370171274	0.8645391178	0.9364227668	0.8611451557	0.9653836661	0.8616419274	0.9626259056	0.9381649749000001	0.7403762865	0.7356041092000001	0.8609158764	0.8639377434000001
GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	0.8309464884000001	0.8310459597000001	0.8953635152	0.8994920424	0.8931763134	0.7600550688000001	0.8026056819	0.9207979375	0.928836552	1.0	0.9061056017	0.8325937196000001	0.9058320555	0.8330009450000001	0.9277765752	0.8367499167	0.9456790798	0.9071681469	0.7147507811	0.7111860415	0.8309015395	0.8349834833
