	GCF_000647875.1 | Streptomyces sp. SolWspMP-sol2th - ST 263:455	GCF_002094995.1 | Streptomyces sp. S8 - ST 436:456	GCF_004794175.1 | Streptomyces sp. 1AS2c - ST 568:457	GCF_009862115.1 | Streptomyces sp. SID8359 - ST 263:458	GCF_011055525.1 | Streptomyces sp. 196 - ST 665:459
GCF_000647875.1 | Streptomyces sp. SolWspMP-sol2th - ST 263:455	1	95343	93182	0	95984
GCF_002094995.1 | Streptomyces sp. S8 - ST 436:456	95343	1	50229	95259	43190
GCF_004794175.1 | Streptomyces sp. 1AS2c - ST 568:457	93182	50229	1	93702	49362
GCF_009862115.1 | Streptomyces sp. SID8359 - ST 263:458	0	95259	93702	1	95984
GCF_011055525.1 | Streptomyces sp. 196 - ST 665:459	95984	43190	49362	95984	1
