	GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385
GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	1	66506	73116	33496	35453	34284	32085	33965	35208	43603
GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	66506	1	61270	67670	62697	60230	56204	58521	68041	71517
GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	73116	61270	1	72388	65718	63358	59222	61510	71268	77870
GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	33496	67670	72388	1	35870	35735	33556	35076	37235	43895
GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	35453	62697	65718	35870	1	3091	3223	3174	36895	44198
GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	34284	60230	63358	35735	3091	1	4015	4474	36188	43571
GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	32085	56204	59222	33556	3223	4015	1	4096	33800	39753
GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	33965	58521	61510	35076	3174	4474	4096	1	35697	41833
GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	35208	68041	71268	37235	36895	36188	33800	35697	1	45093
GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385	43603	71517	77870	43895	44198	43571	39753	41833	45093	1
