	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9879673347000001	0.8428600841	0.9330995796	0.9136707961	0.9795490643	0.8914592651000001	0.9178766846	0.8366958031	0.8887597324000001
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	1.0051284944	1.0	0.843066913	0.9346667561	0.9130525015000001	0.9788776483	0.8928523661000001	0.91786817	0.8391936858	0.8922154331000001
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.8436121527	0.829412137	1.0	0.8228819036	0.8140814714	0.8218584394	0.7646090364	0.8209159645	0.7318907781	0.8031440228000001
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9360455713	0.9216091882	0.8247440109	1.0	0.9111342247	0.9298527089	0.8579334518	0.9255338296000001	0.8507634126	0.8925901110000001
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.8719613404000001	0.8564938285	0.7762256983	0.8668038824000001	1.0	0.871632999	0.8025607007000001	0.8480273107	0.7927307652000001	0.8829350366000001
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9813015406000001	0.9638860595000001	0.8225948108000001	0.9285845386	0.9149607491	1.0	0.8962401728	0.9170205198	0.8411228403000001	0.8833021062
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9679133138	0.9528743033	0.8294439559000001	0.9285805086000001	0.9130727120000001	0.9713664085	1.0	0.9107489558	0.8380711609	0.8817805326
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9344932571000001	0.9185295743	0.8350321467	0.93932338	0.9046783266	0.9319542668	0.8539954466	1.0	0.8668085805	0.8834173849
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.9282367543000001	0.9151122696	0.8112413983000001	0.9408729346	0.9215298271000001	0.9314816627	0.8563220079	0.9445447492000001	1.0	0.8912767832
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.906437076	0.8944251934	0.8183882455	0.9074785398	0.9435709373000001	0.8992620604	0.828283171	0.8849676583	0.8193599185	1.0
