	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	6841649	5922687	6486103	6372038	5717442	5813912	5813646	5573620	6466100	6506534	6479187	6539993	6434680	6423394	6430189	6435084	6408099	6440011	6362805	6432028	6403304	6390136	6387534	6521557	6981882	5973774	6453914
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	5922687	7341200	6177300	6101362	5772645	5885934	5885864	5800319	6086205	6171499	6129352	6180086	6201127	6128697	6104364	6105457	6196597	6111569	6117451	6168553	6108974	6105694	6106006	6162588	5922525	6598610	6099588
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	6486103	6177300	7151148	6600756	5962613	6060009	6057596	5766463	6825962	6955981	6762398	6711783	6732642	6748898	6592080	6555954	6588756	6554785	6553315	6584559	6585140	6582226	6581076	6703555	6487721	6155745	6644416
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	6372038	6101362	6600756	6952079	5965346	6068286	6066139	5773891	6445227	6586195	6576347	6610560	6579224	6574034	6547355	6491149	6564257	6498028	6497876	6506316	6506367	6538774	6537251	6638888	6371427	6120724	6532626
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	5717442	5772645	5962613	5965346	6797439	6522677	6516118	5577116	5776300	5897041	5964565	6008615	6007551	5961173	5874841	5877866	5934074	5877028	5907532	5963627	5876428	5893501	5889782	5966498	5716805	5747026	5913796
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	5813912	5885934	6060009	6068286	6522677	6985550	6740404	5659113	5871423	5998437	6064314	6119877	6114756	6062160	5972267	5981346	6037549	5981095	6005444	6064807	5971329	5991070	5988151	6069341	5812086	5845585	6011856
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	5813646	5885864	6057596	6066139	6516118	6740404	6978043	5655685	5872240	5995978	6062292	6120571	6115550	6059413	5971983	5978673	6037564	5978880	6004267	6064971	5972504	5988694	5986349	6067926	5815775	5842565	6008615
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	5573620	5800319	5766463	5773891	5577116	5659113	5655685	7003169	5647189	5769840	5748196	5804410	5756178	5740578	5740691	5722169	5736384	5721807	5730863	5733507	5711802	5712732	5709418	5793680	5571519	5780309	5723583
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	6466100	6086205	6825962	6445227	5776300	5871423	5872240	5647189	6969071	6980821	6631453	6596410	6631452	6611612	6471374	6462623	6494784	6468449	6435270	6491733	6493994	6494807	6492758	6562414	6465035	6035401	6548011
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	6506534	6171499	6955981	6586195	5897041	5998437	5995978	5769840	6980821	7157307	6770587	6736374	6760522	6735393	6619491	6588102	6605912	6593763	6563928	6603820	6659311	6603618	6601421	6703090	6479304	6167628	6685692
