	GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367
GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	1.0	0.9960371923	0.9960371923	0.9903124174000001	0.9926684955	1.0	0.8829832057	0.9882738278000001	0.9413072329000001	0.9917477247
GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	0.9909025528000001	1.0	1.0	0.9844624748	0.9871136718	0.9909025528000001	0.8779867058	0.9825448217	0.9397523904	0.9860884278000001
GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	0.9909025528000001	1.0	1.0	0.9844624748	0.9871136718	0.9909025528000001	0.8779867058	0.9825448217	0.9397523904	0.9860884278000001
GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	0.9998560665	0.9991001773	0.9991001773	1.0	0.9994452364	0.9998560665	0.8875646492	0.9978179844	0.9498626640000001	0.9983381604
GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	0.9995655469	0.9991226736000001	0.9991226736000001	0.9967833628	1.0	0.9995655469	0.8875957454000001	0.9947026325	0.9515244565000001	0.9988075966000001
GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	1.0	0.9960371923	0.9960371923	0.9903124174000001	0.9926684955	1.0	0.8829832057	0.9882738278000001	0.9413072329000001	0.9917477247
GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	0.8692771344	0.8688371068	0.8688371068	0.8654471412	0.8677886885	0.8692771344	1.0	0.8635287588	0.8641684852	0.8667673570000001
GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	0.9999798025000001	0.9993345748	0.9993345748	1.0	0.9995399613	0.9999798025000001	0.8875338530000001	1.0	0.9507534822	0.9991641244
GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	0.9449354729	0.9482629975	0.9482629975	0.9444224734000001	0.9486012063	0.9449354729	0.8811774376	0.9432455123000001	1.0	0.9439666091000001
GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367	0.9998305799	0.9992764974	0.9992764974	0.996867904	1.0	0.9998305799	0.8876094908000001	0.9955156707	0.9480059827	1.0
