	GCF_000721535.1 | Streptomyces hygroscopicus NRRL B-1477 - ST 316:203	GCF_001553435.1 | Streptomyces hygroscopicus NBRC 16556 - ST 78:204	GCF_001553455.1 | Streptomyces hygroscopicus NBRC 13472 - ST 56:205	GCF_001553475.1 | Streptomyces hygroscopicus NBRC 12859 - ST 56:206	GCF_001570645.1 | Streptomyces hygroscopicus NBRC 100766 - ST 78:207	GCF_001705785.1 | Streptomyces hygroscopicus OsiSh-2 - ST 403:209	GCF_002021875.1 | Streptomyces hygroscopicus XM201 - ST 430:566
GCF_000721535.1 | Streptomyces hygroscopicus NRRL B-1477 - ST 316:203	1	216500	195592	200154	215031	218968	548196
GCF_001553435.1 | Streptomyces hygroscopicus NBRC 16556 - ST 78:204	216500	1	204173	206151	86612	93647	553338
GCF_001553455.1 | Streptomyces hygroscopicus NBRC 13472 - ST 56:205	195592	204173	1	94957	207576	206302	539172
GCF_001553475.1 | Streptomyces hygroscopicus NBRC 12859 - ST 56:206	200154	206151	94957	1	206315	208374	545836
GCF_001570645.1 | Streptomyces hygroscopicus NBRC 100766 - ST 78:207	215031	86612	207576	206315	1	84148	550433
GCF_001705785.1 | Streptomyces hygroscopicus OsiSh-2 - ST 403:209	218968	93647	206302	208374	84148	1	551906
GCF_002021875.1 | Streptomyces hygroscopicus XM201 - ST 430:566	548196	553338	539172	545836	550433	551906	1
