	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1.0	0.9879673347000001	0.8428600841	0.9330995796	0.9136707961	0.9795490643	0.8914592651000001	0.9178766846	0.8366958031	0.8887597324000001	0.9099986604	0.9449545271	0.9281548485000001	0.9251098699	0.9229633702000001	0.9312050217000001	0.9083610391	0.9170243583000001	0.9250543268
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	1.0051284944	1.0	0.843066913	0.9346667561	0.9130525015000001	0.9788776483	0.8928523661000001	0.91786817	0.8391936858	0.8922154331000001	0.9030902479	0.9440699275000001	0.9204222031	0.9194438855	0.9162420447	0.9325054323	0.9084275978	0.9171367185	0.9173890728
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	0.8436121527	0.829412137	1.0	0.8228819036	0.8140814714	0.8218584394	0.7646090364	0.8209159645	0.7318907781	0.8031440228000001	0.8356405105	0.8386826068000001	0.8383383525	0.8364202070000001	0.8346513418	0.8384656356	0.8282716883	0.8291264749	0.8314103718
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	0.9360455713	0.9216091882	0.8247440109	1.0	0.9111342247	0.9298527089	0.8579334518	0.9255338296000001	0.8507634126	0.8925901110000001	0.8986890738000001	0.9443035227000001	0.9098010912000001	0.9163605327000001	0.9121790453	0.9291463076	0.9003463962	0.9104619959	0.9078645754
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	0.8719613404000001	0.8564938285	0.7762256983	0.8668038824000001	1.0	0.871632999	0.8025607007000001	0.8480273107	0.7927307652000001	0.8829350366000001	0.8523591483	0.8637272547	0.8434672357	0.8520536878	0.8481957716	0.8660228798	0.8380096561	0.8421379488	0.8438011067000001
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	0.9813015406000001	0.9638860595000001	0.8225948108000001	0.9285845386	0.9149607491	1.0	0.8962401728	0.9170205198	0.8411228403000001	0.8833021062	0.8838124954000001	0.9258917851	0.9019327139000001	0.9010383318	0.8992184440000001	0.9116678379	0.8893855454	0.8961156778	0.8992584745000001
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	0.9679133138	0.9528743033	0.8294439559000001	0.9285805086000001	0.9130727120000001	0.9713664085	1.0	0.9107489558	0.8380711609	0.8817805326	0.8934595115	0.9295006180000001	0.906987061	0.9105608773	0.907655206	0.9153010188	0.8856797442000001	0.8906931093	0.9097268892
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	0.9344932571000001	0.9185295743	0.8350321467	0.93932338	0.9046783266	0.9319542668	0.8539954466	1.0	0.8668085805	0.8834173849	0.9114080137	0.9525309301	0.9206234989000001	0.9268576741000001	0.9269354792000001	0.9374786354	0.9160053314000001	0.9246693663000001	0.9217406383000001
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	0.9282367543000001	0.9151122696	0.8112413983000001	0.9408729346	0.9215298271000001	0.9314816627	0.8563220079	0.9445447492000001	1.0	0.8912767832	0.8803646302	0.9464312491	0.8988996969	0.8996638501	0.9026651605	0.9288067384	0.8874355138000001	0.8958652492	0.8952470554
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	0.906437076	0.8944251934	0.8183882455	0.9074785398	0.9435709373000001	0.8992620604	0.828283171	0.8849676583	0.8193599185	1.0	0.9008738740000001	0.9074701853	0.8863911892	0.8952948799	0.8882388655000001	0.9098687513	0.8815200889	0.8860261369	0.8939495963
GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	0.9311890522	0.9083417199	0.8543370759000001	0.9167218249	0.9139285588	0.9027779836000001	0.8420483406	0.9160477610000001	0.8120233622	0.9038738231000001	1.0	0.9316983313	1.0007710743	0.9999493992	0.9720537432	0.9358230628	0.9275865823	0.9283967061	0.9723405832
GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	0.9475359061	0.9304861875	0.8402239612	0.9439030229	0.9075151909	0.9267630507	0.8584193297	0.9381494303000001	0.8554264358	0.8922033301000001	0.9129835981000001	1.0	0.9281191588000001	0.9302912557	0.9295491927	0.9980868438	0.9184287658	0.9292171276000001	0.9278982829
GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	0.9537149105	0.9296216341	0.8606570477000001	0.9319134701	0.9081526726	0.9251155644	0.8583497118000001	0.9291554040000001	0.8325650939	0.8930386880000001	1.0049299059	0.9510801254000001	1.0	1.001434104	1.0065856283	0.9375893236	0.9371797555	0.9371967952	0.9807855104000001
GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	0.9292917636	0.9078309887	0.8394521577	0.9176058011	0.8968467680000001	0.9034950012	0.8424280125	0.9144921669	0.8146065048000001	0.8818030218	0.9816116158	0.9319507157	0.9790007309000001	1.0	0.9760934146	0.921422582	0.9196972787000001	0.9268010971	0.9637575909
GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	0.9259755366	0.9035376733	0.8366287861	0.9122757697	0.8916689919	0.9005419893000001	0.8386890831	0.9134246330000001	0.8163014318	0.8737587305000001	0.9530336086000001	0.9300422102	0.9828056359	0.9748721347	1.0	0.9163837354000001	0.9124388335	0.9216851639	0.9652904561000001
GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	0.9277892487	0.9132220675	0.8346453033000001	0.9228245350000001	0.9041196444	0.9067015822000001	0.8399105016	0.9174313397	0.8341385902	0.8888520624	0.9111726214	0.9917166189000001	0.9091144165	0.9139114203	0.9100522986	1.0	0.9069549885	0.9133752459000001	0.9085921766
GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	0.9258368112	0.9100961268000001	0.8434540393000001	0.914779824	0.894988556	0.9048773681000001	0.8314146975000001	0.9170269804000001	0.8153077683000001	0.8809573192	0.9239177172	0.9335480096000001	0.9296098348	0.9331728047000001	0.9269678223000001	0.9278070186	1.0	1.0008191379	0.9224267742000001
GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	0.9298130072	0.9140497358	0.8399398536	0.9202536928	0.8947269049000001	0.9069900745	0.8317788580000001	0.9208934452	0.8187781905	0.8808622274000001	0.9199224721	0.9396090380000001	0.9247991151	0.9354972413	0.9314987891000001	0.9295226066000001	0.9956218087	1.0	0.9214582424000001
GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115	0.9482007378	0.9242886364	0.8514539174	0.9276520773	0.9062867990000001	0.9201132882	0.858833786	0.9280042212	0.8271509658	0.8984476789	0.9739896775	0.9485247226	0.9783831318	0.9834269107	0.9862250166000001	0.9347554734	0.9276603714	0.9315238178	1.0
