	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	1.0	0.8941579192	0.8122907777	0.8471590272	0.9149887946	0.8018176090000001	0.8406794425	0.8383627859	0.9188317882	0.9256425038	0.9051890840000001	0.8150029439	0.8282953436	0.8277845119	0.8328656774000001	0.8444412628	0.8471034655	0.8899738580000001	0.9075864939	0.7935051883	0.9088168285	0.9054047529	0.9235317194	0.9196988025	0.9291535267000001	0.9204087885000001	0.9148488407	0.9121677442	0.9066062570000001	0.9107364359000001	0.9062948596	0.9050015458	0.9099317011	0.9075540246	0.9086964682	0.9088117902	0.8295241386000001	0.9400394194	0.9089809944	0.9205374061	0.8081244907	0.8360591451	0.8532638154000001	0.8939205574	0.8460508724	0.9169698418000001	0.9173687103	0.8278621863000001	0.8062082421000001	0.8830553779	0.9007915931	0.8743313528000001	0.8023295603	0.9116619509	0.9163082798000001	0.9278147279000001	0.9107836004000001
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	0.9338314491	1.0	0.8397231428	0.8656812122	0.9426426290000001	0.822384925	0.863108733	0.8630534832000001	0.9438065297	0.9480321192000001	0.9313599689000001	0.8356818656	0.8497822674000001	0.8497433879	0.8582656023	0.8661900077	0.8688629013	0.909385442	0.9426462831	0.8146603253	0.9349903802	0.9451084088	0.9510183875	0.9470212517000001	0.9559088752	0.9405159487	0.9388663464	0.939859528	0.9405749988000001	0.9366307742000001	0.9412951468	0.9300104405	0.9401283229	0.9359299198000001	0.9340052376	0.93362492	0.8545245452	0.9532142032	0.9373208126	0.9394474928000001	0.8357968963	0.8631138487000001	0.877143215	1.0204969591	0.8731482717	0.9472213497	0.9478380139	0.8615631992	0.83560893	0.9055781727000001	0.9242640188000001	0.8975138888	0.8240292655	0.9401321231	0.9306649610000001	0.93354453	0.9433272593
GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	0.8167558828	0.8084675680000001	1.0	0.8355926677000001	0.8266298666	0.9118058178	0.8340082652	0.8259086602	0.8343410756	0.8317899048	0.8305259290000001	0.7905211388000001	0.80401973	0.8037496821000001	0.8044368335000001	0.7586379064000001	0.7617252326	0.8005471036	0.8225087878	0.914640968	0.8303964637	0.8157601255	0.8337586223000001	0.8281434853	0.8375976918	0.8327880544	0.8275579361000001	0.8282881488	0.8266172015000001	0.8296534452000001	0.8271418176	0.8291082835	0.8291438865	0.8244354291	0.8241611596	0.8240111487	0.7888469549	0.83605818	0.8285317406	0.8301182539	0.9298347108	0.8274591484	0.8271665849000001	0.8084945869	0.8393550431	0.8345964882	0.8347342562000001	0.7957107288	0.927394852	0.799106661	0.8149767195000001	0.7919711506	0.9082211758000001	0.82645734	0.8254915567000001	0.8236061473	0.8270462666
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	0.8245423092	0.8067736882000001	0.8088386095000001	1.0	0.83136272	0.8043426143	0.9306426742	0.8504225467000001	0.8400518989	0.8414564376	0.8311123522	0.7863353403000001	0.801767286	0.8017577508	0.8190498829	0.7611743312	0.7644908189	0.8127864654	0.8252378358	0.7901050237	0.8322752411000001	0.8290477034	0.8406662399	0.8349250804	0.8418359396	0.8447020923	0.8348358579	0.8315212772	0.8316701629000001	0.8440850270000001	0.8325027244000001	0.8333039558	0.8402649431	0.8321492399	0.8317024465	0.8317449463000001	0.8130345175	0.8394524056	0.8283971285	0.8399302566	0.8135164551	0.8865720863000001	0.8255319294	0.8067516210000001	0.8988462377	0.8350079006000001	0.8350696071	0.8087221435	0.8039064458	0.8115276794	0.8282975535	0.8038883289000001	0.7984397646	0.8307952378	0.8361769193	0.8274733014000001	0.8308707023
GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	0.9349054211000001	0.9222416035000001	0.8400057257	0.8727592216000001	1.0	0.8331125409	0.8731702044	0.8713445200000001	0.9567767397	0.9632393507	0.9354857161000001	0.8488482902000001	0.8635604435	0.8632099498	0.8673818396	0.864893063	0.8689198075000001	0.9138320439000001	0.9357176626	0.8195980148	0.9410941866	0.9460231197000001	0.9659542107	0.9690588895000001	0.9557215407	0.9821314018	0.9761289656000001	0.9382978164	0.933779008	0.9381663991	0.9347827268000001	0.9392805142	0.9387023641000001	0.9371109142	0.9454130806000001	0.9435995512	0.8644837962	0.9566654855000001	0.9446802042	0.9563588929	0.8332898613	0.8617461991	0.8926868806	0.9211735345000001	0.8732046674	0.9761865948	0.9764101042000001	0.8619458275	0.8328547114	0.9100771429000001	0.9289355890000001	0.9013814398000001	0.8321548681000001	0.9396857769	0.9680701857	0.9349802102	0.9426932155000001
GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	0.8140730051	0.7994819005	0.9206814099	0.8390364730000001	0.8278268978000001	1.0	0.8405374014	0.8301825156	0.8316368376000001	0.8258999745000001	0.8273439236	0.7994237844000001	0.8193533234	0.8192511585000001	0.8100760709	0.7532338948	0.7567539648	0.8022939211	0.8198968291000001	0.9055134076	0.826760916	0.8095832924	0.827669885	0.8295388343000001	0.8400942133	0.8388689453	0.8320226201	0.8244999321	0.8224493879	0.8306595219	0.8224562084	0.8344158926	0.8271084755	0.8199680177	0.8256476173	0.8256464806	0.7985182257000001	0.8308601572000001	0.826235314	0.8326187002000001	0.9403605809000001	0.8333834448	0.8380881443	0.7994972465	0.8324712077	0.833287532	0.8335030871	0.7979411860000001	0.9288447952000001	0.7973863128	0.8130382838	0.7901425534000001	0.927694126	0.8242789775	0.8310424625	0.8212450076000001	0.8225958858
GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	0.8334523583000001	0.8193351648	0.8223183056000001	0.9479497428	0.8472222588	0.8207665173	1.0	0.8686703475	0.8499582846	0.8492380295	0.8432066738	0.7965897567	0.8106968215	0.810043028	0.8355781584	0.7702534796	0.7740207008000001	0.820943702	0.8356143723	0.8023656723	0.8470944694	0.8345701343	0.8603658385	0.8523389697	0.8557833180000001	0.8523579786000001	0.8508633556	0.8450788375	0.8444945581000001	0.8440257194	0.8452342383	0.8462401811	0.8456556243000001	0.8466206356	0.8471338746	0.8468745495000001	0.8241353852000001	0.8496963232	0.8440792772	0.8500794140000001	0.8242774660000001	0.8934158475	0.8368614639	0.8191689414000001	0.9100848058000001	0.8511847023	0.8512732253	0.8252551036	0.8239203216000001	0.8124615921	0.8291997870000001	0.8048988445	0.8184389737000001	0.8435851858000001	0.8444944194	0.8401480526	0.8458071401
GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	0.8770482479	0.8645197799000001	0.8592959490000001	0.9140674769	0.8921327751	0.8554158867	0.9166343706000001	1.0	0.8959689138	0.8910433240000001	0.8869014772	0.8324592298	0.8466834406	0.8462723159000001	0.8920731855	0.8114015354	0.8145054681	0.8613562575	0.8825695878	0.8397682592	0.8942102138	0.8752407927	0.8903421573	0.8948784378	0.8911156515	0.8948405172	0.8934743475	0.8909487419000001	0.8883600328000001	0.8866975254	0.8888862372	0.8904671931	0.8901341060000001	0.8884188904	0.8921383388	0.8916622072	0.8780084172	0.8919557631	0.891070703	0.8958809203	0.8528011162	0.9092452539	0.8746361115	0.8645427666000001	0.9152497531	0.8949375883	0.8947766816	0.8792265644	0.8530718319	0.8485723008	0.8655874156000001	0.8405173026	0.8549317025000001	0.8895423090000001	0.8890439228	0.8852074913	0.8869524286
GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	0.9045493192	0.8896618105	0.8168816033	0.8496779636	0.9218387191	0.8063845415	0.8440020441	0.8431361067	1.0	0.9215621978	0.9112033277	0.8247173373000001	0.8402913958	0.8416399710000001	0.8368102864	0.8360267406	0.8388066956	0.8918721896	0.9176465353000001	0.7954241309000001	0.9233607572	0.9043367271	0.9232900769	0.9279053782000001	0.9312966561	0.9348204768	0.9187546870000001	0.9136938103000001	0.911481089	0.9166774019	0.9121556521	0.9144075025	0.9186685755	0.9147677931	0.9158380558	0.9142033149000001	0.8346322853	0.9354691376000001	0.9251547699	1.0008859152	0.8202202498000001	0.8361065143	0.8682256937	0.8896771039	0.8492613217	0.9252937884	0.9256921058	0.8375250808	0.8120775455	0.8892367641000001	0.907521613	0.8809582103	0.8065242488000001	0.9254757936	0.9243420151	0.9074733905000001	0.9086027602000001
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	0.9248740202	0.9070016451	0.8265558201000001	0.8638193476	0.9419364555	0.812791177	0.8558908304	0.8510334285000001	0.9353361167	1.0	0.9230344554000001	0.8337980140000001	0.8474176454000001	0.8470802171	0.8478605113000001	0.8523239905000001	0.8562573450000001	0.8984419005000001	0.9191968898	0.8063688515	0.9145822461	0.9545267417000001	0.972708298	0.9456380989000001	0.9385602144	0.9414770887	0.9437502902	0.9218212237000001	0.9167694474	0.9213564032	0.9166059771	0.9164004157000001	0.9207695044	0.9208507501000001	0.9204432631	0.9202824498000001	0.8467342586000001	0.9374096299	0.9202681863000001	0.9352940255000001	0.8194168265	0.8545370617	0.8728061564	0.9072279024000001	0.8608051463	0.9487331265000001	0.949215986	0.84277	0.8192897140000001	0.8988163858	0.9174255658	0.8909300996	0.8141905328	0.9249924627	0.9327794642	0.9192322687000001	0.9291397689
