	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	1	258966	7098
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	258966	1	259066
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	7098	259066	1
