	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.9910923927	0.9294272765	0.8658405338	0.8899889233	0.8927149031	0.9158203380000001	0.8925247794000001	0.9910453467	0.8655960103	0.8653306672000001	0.8657763003000001	0.9310492084	0.8928888206000001	0.9301337585	0.9305156497	0.9310363652	0.9995054981	0.9310739859	0.9308409085	0.9293034122	0.9300347273	0.9303996662	0.9310341885000001	0.9308421499	0.9304868029000001	0.9162279179	0.9304638820000001	0.9301144223000001	0.9298578625	0.9162991103	0.9179498879	0.9172412856000001	0.9175086051	0.8900195559	0.8912630683	0.8907865841	0.866281362	0.9163330209	0.8657916371000001	0.8932600712000001	0.9998793674	0.8899889233	0.9311121095	0.8909423952000001	0.9178438446	0.9322702069000001	0.9306516739	0.9320888562	0.8688119328	0.8919431278000001	0.8688396549	0.9321818175000001	0.9158516590000001	0.8926971604	0.8919130158	0.9154970162	0.8919329004000001	0.9305391823	0.930528969	0.9307405372	0.9385411504000001	0.9292937290000001	0.9917824749	0.9999465797	0.9999476036
GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	0.9910923927	1.0	0.9290193840000001	0.8664165115	0.8898022717	0.8927040918	0.9160323239	0.8924712606	0.9939557475	0.8656829041	0.8651887483	0.8654665658	0.93071777	0.8925940920000001	0.9299937873	0.9303941666000001	0.9310186339000001	0.9910652640000001	0.9307314697	0.9306883116	0.9290760094	0.9299439374	0.9299635536	0.9306735168	0.9304279537000001	0.9301241504000001	0.9160161875	0.9301640407	0.9297606684	0.9293000319	0.9159541722000001	0.9178401546	0.9169746326	0.9172268139	0.8898113777000001	0.8911505584	0.8906900762000001	0.8661855663	0.9158363358	0.865494795	0.8932615751	0.9911061104000001	0.8898022717	0.9308233549	0.8905960366000001	0.9175798053	0.9319201486	0.9305340021	0.9320365128	0.8688010843	0.891966904	0.8688098177	0.9318545093	0.9158003047000001	0.8927421005	0.8918357053	0.9152664925	0.8919527308	0.9300557987	0.9299185381	0.9307251976	0.9382347496000001	0.9289145391	0.9927918976000001	0.9909802868	0.9910359925000001
GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	0.9294272765	0.9290193840000001	1.0	0.8657468935	0.8913717293000001	0.8955241581000001	0.9209229215	0.8957194109000001	0.9293460064	0.8658485757000001	0.8659894182000001	0.8662257764	0.969647888	0.8962196918	0.9689500919	0.9695509376	0.9697340858000001	0.9310537163	0.9630281389	0.969791657	0.9849708678	0.9691555561	0.9569009873000001	0.9865945653	0.9857459501	0.9864635032000001	0.9211954522	0.9686358490000001	0.9632205286000001	0.9851555843	0.9216497845	0.9274151244000001	0.9221885709000001	0.9224124753	0.8912901943	0.8930555956	0.8919371794000001	0.8659875649000001	0.9214050009	0.8662272246	0.8947205549	0.9293326838	0.8913717293000001	0.9574475901	0.8927233885	0.9247725352	0.9580555632000001	0.9572791863000001	0.9581988382000001	0.8690016351000001	0.8948178068	0.8690451576	0.9633088557	0.9207348940000001	0.8959754474	0.8947726602	0.9188802743000001	0.8949576520000001	0.9662877044	0.9661487828	0.9702331593	0.9425907791	0.9581874423000001	0.9310602113	0.9294151805	0.9294279477
GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	0.8658405338	0.8664165115	0.8657468935	1.0	0.8651901152	0.8659657648	0.8659915132	0.8656028086	0.8658004219000001	0.9933068951	0.9935972189000001	0.9914731271	0.8664212102000001	0.8663453811	0.8660397351	0.8661548103000001	0.8665297192	0.8670076969	0.8663164952	0.8661134714000001	0.8654952408000001	0.8658275777000001	0.8659780578	0.8670441599	0.8669092146	0.8665209941	0.8668270669	0.8667788374000001	0.8655258429	0.8656770841	0.8670053097	0.8665821217	0.8673313914	0.8674772392000001	0.8649477621	0.8647660905000001	0.865888341	0.9939899435	0.8663075368	0.9932990003000001	0.8673789043000001	0.8653660027000001	0.8651901152	0.8667493478	0.8646337511000001	0.8664804845	0.8673825266	0.8666374039	0.8675705239	0.8678206651	0.8657253167000001	0.8678453103	0.8672138527000001	0.8659206771	0.8668079383	0.8658298504	0.8663722758	0.8659496383	0.8659289287	0.8658981370000001	0.8662260289	0.8660236305000001	0.8655120205	0.8669589877	0.8657534255	0.8661745565000001
GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	0.8899889233	0.8898022717	0.8913717293000001	0.8651901152	1.0	0.9231837608000001	0.8942244184	0.9234090030000001	0.8901456627000001	0.8649490912000001	0.8648139508	0.8651545076	0.8924869726	0.9239503502	0.8923746996	0.8924610493	0.8923628816	0.8919174857000001	0.8926064797000001	0.8921573499000001	0.8912114292000001	0.8918525167	0.8914867491	0.8929889846	0.8930420897	0.8924641751	0.8946545041	0.8930419041000001	0.8917367834000001	0.8915671546	0.8949308117	0.8931045961	0.8953025960000001	0.8954988625	0.9864139892	0.9608232135	0.9280216911	0.8648018796	0.8942674985	0.8655181089	0.9620468544	0.8900097732000001	1.0	0.8923001770000001	0.9612433033000001	0.89462472	0.8933548012	0.8922127360000001	0.8941219269	0.8681545964	0.9222130813	0.8682130202	0.8934692058	0.8942166426	0.9238801541	0.9225389456	0.8960266159	0.9227563605	0.8923702211000001	0.8925420311000001	0.8924422785	0.8928316356	0.8914748811000001	0.8924368819	0.8899768569000001	0.8900548001
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	0.8927149031	0.8927040918	0.8955241581000001	0.8659657648	0.9231837608000001	1.0	0.8960117721	0.9897397253	0.8926237848	0.8656388152000001	0.8653600087000001	0.8657471013	0.8962352732000001	0.9748739313	0.8958697208	0.8961676493	0.8963977429000001	0.8943969137000001	0.8959411016000001	0.8958315842000001	0.8951433212000001	0.8956808030000001	0.8948952857	0.8968312535	0.896949474	0.8962672778	0.8965487505	0.8963947604	0.8953178287	0.8955824480000001	0.8965099172000001	0.8965007283	0.8972676608	0.8974846082	0.9233024603000001	0.9253974287000001	0.9223125536000001	0.8660452493	0.8964372405000001	0.8656272145	0.9264061964	0.8924043624	0.9231729550000001	0.8955983201000001	0.9251446141	0.8975801226000001	0.8966345316000001	0.8955528828	0.8972455202	0.8688964090000001	0.9742506247	0.8689049548000001	0.8966349433	0.89583433	0.9742725350000001	0.9738815111	0.8961382525	0.9742605070000001	0.8960704142	0.8959886791	0.8960282828	0.8960929591000001	0.8948913904	0.8948128778000001	0.8927601904	0.8929001150000001
GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	0.9158203380000001	0.9160323239	0.9209229215	0.8659915132	0.8942244184	0.8960117721	1.0	0.8961628426	0.9162471004	0.8660262187000001	0.8661602505	0.8664981245000001	0.9215652886000001	0.8962564212	0.9214744876000001	0.9217412342	0.9214129288	0.9178625399	0.9213772246	0.9214965967000001	0.9207347591	0.9206484650000001	0.9204222626	0.9222260961000001	0.922192026	0.9217276876	0.9886271152	0.9216250389	0.9209959293000001	0.9208995886	0.9588717765	0.9239447066	0.9912602433000001	0.9912132297	0.8945058626	0.8951798666	0.894073014	0.8662288718000001	0.9642891739	0.8664029567	0.8972615128	0.9157388025000001	0.8942926137	0.9210543034	0.8948357341000001	0.9482692391	0.9222050175000001	0.920651054	0.9221580738	0.8690982873	0.8950276193000001	0.8690876186000001	0.9221735735000001	0.9907322049	0.8961353862	0.8947825604	0.922342313	0.8950251879000001	0.9212425285	0.9210862070000001	0.9216630793	0.9209991514	0.9203894647	0.9179976343	0.9158200285	0.9158391602
GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	0.8925247794000001	0.8924712606	0.8957194109000001	0.8656028086	0.9234090030000001	0.9897397253	0.8961628426	1.0	0.8929365124	0.8658716921	0.8658396298000001	0.8662631386	0.8963075130000001	0.9740963686	0.8960319609	0.8962684117	0.8962598421	0.8945176584000001	0.8961727284000001	0.8960228689	0.8952958924000001	0.8960344426	0.8951315711000001	0.8968864015	0.8968350177000001	0.8963419043	0.8970660854	0.8967288045	0.8955718888	0.8958220499	0.8963846516	0.8965056990000001	0.8970137992	0.8972635253000001	0.9231820094000001	0.9256503472000001	0.9222913995	0.8656594234	0.8965000563000001	0.8668224037000001	0.9258734651	0.8926555123000001	0.9233625032	0.8957747963	0.9249185765000001	0.8974820173	0.8967578979	0.8957801137	0.8973162789	0.8681593683000001	0.9738625045	0.868161331	0.8966080651	0.8960278859	0.9738613831	0.9739065924	0.8961526121000001	0.9740458232	0.8964061857000001	0.8961780929000001	0.8964401674	0.8964845672	0.8950270875	0.8949475919000001	0.8926475443	0.8927098945
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9910453467	0.9939557475	0.9293460064	0.8658004219000001	0.8901456627000001	0.8926237848	0.9162471004	0.8929365124	1.0	0.8659071025	0.8655852922	0.8659651369	0.9310911602	0.8929770033000001	0.9301611103	0.930413522	0.9309527111	0.9909120308	0.9313822933	0.9309755246	0.9295991862	0.9303403272	0.9305471507	0.9311392662	0.9309827229000001	0.9305380537	0.9163818558	0.9307719732	0.9303758942	0.9298886436	0.9162771294000001	0.9179855841000001	0.9174349017000001	0.9176369534000001	0.8901827124	0.8912588561	0.8903598231000001	0.8660407393	0.9165277763	0.8658284889000001	0.8935528720000001	0.9909354228	0.8902351621	0.9313782658	0.8909056286	0.9181240812	0.9325438786	0.9308967483	0.9324560967000001	0.8682776107	0.8919476971	0.8682708893000001	0.9317102432000001	0.9162424679000001	0.8929991503	0.8917734270000001	0.9157143789000001	0.8917137542	0.9307614661	0.9304434227	0.9311190556000001	0.9387411388	0.9293414322	0.9929065905000001	0.9908303887000001	0.9908585258
GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	0.8655960103	0.8656829041	0.8658485757000001	0.9933068951	0.8649490912000001	0.8656388152000001	0.8660262187000001	0.8658716921	0.8659071025	1.0	0.9937403905000001	0.9917696563	0.8669861463	0.8661805770000001	0.8666456623000001	0.8666272611	0.8663133956	0.8669841079	0.8663508758	0.8661802089	0.8662698804000001	0.8659055417	0.8658348919000001	0.8672098568000001	0.866706639	0.8667108967	0.8668175971000001	0.867538747	0.8659937649	0.8657056844000001	0.8666703738	0.8666620947	0.8665325645	0.8666810882	0.8647999221	0.8647260372000001	0.8650416175000001	0.9930699677	0.8661675324	0.9932622847	0.8674475674000001	0.8655753051	0.8649707968	0.8664274024	0.8647641587	0.8664620087	0.8675576045000001	0.8662109233	0.8673979848000001	0.8671217469	0.8653328457	0.8671044959	0.8664988744000001	0.8661909365	0.8663646264	0.8652803251000001	0.8665438257	0.8654584160000001	0.8662410851000001	0.8663204729	0.8663827014000001	0.8661903367	0.8654421121	0.8671972295	0.8656173319	0.8659034022000001
