	GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729
GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	1	520175	528832	528840	566422	565468	120249	118449	517577	134349	132074	519238	486296	488597	488286	486870	487232
GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	520175	1	389414	389567	570206	570023	513120	510860	522901	514858	510978	386886	437689	443710	444227	438532	443832
GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	528832	389414	1	2219	561284	562091	521803	529152	518486	521765	515359	313989	448023	456728	456843	454328	456526
GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	528840	389567	2219	1	561153	562132	521816	529649	517933	522467	515479	313845	449285	456914	457293	454900	457037
GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	566422	570206	561284	561153	1	39563	566731	566616	526734	571089	560655	555706	539219	556820	556723	550791	556547
GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	565468	570023	562091	562132	39563	1	567145	568117	529057	573811	563653	555237	542180	562030	561644	553701	561178
GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	120249	513120	521803	521816	566731	567145	1	122330	515706	132782	137655	514900	477795	484988	484886	482191	482358
GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	118449	510860	529152	529649	566616	568117	122330	1	513532	135284	110805	515245	484058	482343	482785	483536	481595
GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	517577	522901	518486	517933	526734	529057	515706	513532	1	520425	518915	521649	495878	516241	517946	517573	516086
GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	134349	514858	521765	522467	571089	573811	132782	135284	520425	1	145983	514378	487776	489391	489500	495054	487369
GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	132074	510978	515359	515479	560655	563653	137655	110805	518915	145983	1	510157	480261	482953	483374	484885	480998
GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	519238	386886	313989	313845	555706	555237	514900	515245	521649	514378	510157	1	453696	462857	462766	446871	462392
GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	486296	437689	448023	449285	539219	542180	477795	484058	495878	487776	480261	453696	1	418859	419538	442960	419165
GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	488597	443710	456728	456914	556820	562030	484988	482343	516241	489391	482953	462857	418859	1	531	430438	485
GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	488286	444227	456843	457293	556723	561644	484886	482785	517946	489500	483374	462766	419538	531	1	433672	159
GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	486870	438532	454328	454900	550791	553701	482191	483536	517573	495054	484885	446871	442960	430438	433672	1	431493
GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729	487232	443832	456526	457037	556547	561178	482358	481595	516086	487369	480998	462392	419165	485	159	431493	1
