	GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592
GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	1.0	0.9362443624000001	0.9332769725000001	0.9332554469000001	0.9366831642000001	0.9350442517	0.9340896855	0.9349721652	0.9361760321	0.9367445703	0.9361068457	0.9338407925000001	0.9335566974	0.9337528299000001	0.93664434	0.933995397	0.934124846
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	0.9362443624000001	1.0	0.9710412067	0.9705590386	0.9708142369	0.9849707502	0.9714155372000001	0.9716784536	0.9920553279000001	0.9708820081	0.9706047359000001	0.9712796887	0.9712337536000001	0.9716842471	0.9709877115000001	0.9714688222000001	0.9714245145
GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	0.9332769725000001	0.9710412067	1.0	0.9961645693000001	0.9668549601	0.9698268548000001	0.9837273794	0.98485602	0.9711556121	0.9668125071	0.9666878461	0.9856266388	0.9857377089	0.9837204568000001	0.9670036463	0.9837821688	0.9837417270000001
GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	0.9332554469000001	0.9705590386	0.9961645693000001	1.0	0.9668148546	0.9693281015	0.9838633245	0.9851377313	0.9710066349	0.966778726	0.9667547254000001	0.9856949589	0.9858768034000001	0.983816953	0.9670782818	0.9839205094000001	0.9838757207000001
GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	0.9366831642000001	0.9708142369	0.9668549601	0.9668148546	1.0	0.9695233296	0.9676825360000001	0.9685007514	0.9712157171	0.9902480727	0.9901465155	0.9673906742	0.9674579064000001	0.9676468542000001	0.9897829363	0.9675812095	0.9676917488000001
GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	0.9350442517	0.9849707502	0.9698268548000001	0.9693281015	0.9695233296	1.0	0.9706164391000001	0.9711536271000001	0.9856459223	0.9696285244	0.9692050115	0.9700362876	0.9698408468	0.9706193668	0.9697502776	0.9705121454000001	0.9706317767
GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	0.9340896855	0.9714155372000001	0.9837273794	0.9838633245	0.9676825360000001	0.9706164391000001	1.0	0.9869244662000001	0.9718935193	0.9675119163	0.9678033345	0.9838669288	0.9837601126000001	0.9952900680000001	0.9678029213	0.9998209370000001	1.0
GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	0.9349721652	0.9716784536	0.98485602	0.9851377313	0.9685007514	0.9711536271000001	0.9869244662000001	1.0	0.9718198274000001	0.9686094770000001	0.968611235	0.9850281805000001	0.98458861	0.9867113376000001	0.9686587501	0.9870850975000001	0.9869901536000001
GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	0.9361760321	0.9920553279000001	0.9711556121	0.9710066349	0.9712157171	0.9856459223	0.9718935193	0.9718198274000001	1.0	0.9710691331	0.9705803255000001	0.9717102913000001	0.9716978979	0.9721462509000001	0.9712359483	0.9719640078	0.9719211092000001
GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	0.9367445703	0.9708820081	0.9668125071	0.966778726	0.9902480727	0.9696285244	0.9675119163	0.9686094770000001	0.9710691331	1.0	0.9902249588	0.9673601562	0.9672699197	0.9674688199	0.9896248280000001	0.9674881156	0.9675323605
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	0.9361068457	0.9706047359000001	0.9666878461	0.9667547254000001	0.9901465155	0.9692050115	0.9678033345	0.968611235	0.9705803255000001	0.9902249588	1.0	0.9673275792	0.967334558	0.9675319865	0.9897242387	0.9677386442	0.9677727817
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	0.9338407925000001	0.9712796887	0.9856266388	0.9856949589	0.9673906742	0.9700362876	0.9838669288	0.9850281805000001	0.9717102913000001	0.9673601562	0.9673275792	1.0	0.9948180142	0.9840801957	0.9677465404000001	0.9838300877	0.983824279
GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	0.9335566974	0.9712337536000001	0.9857377089	0.9858768034000001	0.9674579064000001	0.9698408468	0.9837601126000001	0.98458861	0.9716978979	0.9672699197	0.967334558	0.9948180142	1.0	0.9835369979	0.9675559409000001	0.9837715971000001	0.9837843856
GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	0.9337528299000001	0.9716842471	0.9837204568000001	0.983816953	0.9676468542000001	0.9706193668	0.9952900680000001	0.9867113376000001	0.9721462509000001	0.9674688199	0.9675319865	0.9840801957	0.9835369979	1.0	0.9677964654000001	0.9954042325	0.9952748459
GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	0.93664434	0.9709877115000001	0.9670036463	0.9670782818	0.9897829363	0.9697502776	0.9678029213	0.9686587501	0.9712359483	0.9896248280000001	0.9897242387	0.9677465404000001	0.9675559409000001	0.9677964654000001	1.0	0.9677758614	0.9678348857
GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	0.933995397	0.9714688222000001	0.9837821688	0.9839205094000001	0.9675812095	0.9705121454000001	0.9998209370000001	0.9870850975000001	0.9719640078	0.9674881156	0.9677386442	0.9838300877	0.9837715971000001	0.9954042325	0.9677758614	1.0	0.9998226349
GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592	0.934124846	0.9714245145	0.9837417270000001	0.9838757207000001	0.9676917488000001	0.9706317767	1.0	0.9869901536000001	0.9719211092000001	0.9675323605	0.9677727817	0.983824279	0.9837843856	0.9952748459	0.9678348857	0.9998226349	1.0
