	GCF_000721535.1 | Streptomyces hygroscopicus NRRL B-1477 - ST 316:203	GCF_001553435.1 | Streptomyces hygroscopicus NBRC 16556 - ST 78:204	GCF_001553455.1 | Streptomyces hygroscopicus NBRC 13472 - ST 56:205	GCF_001553475.1 | Streptomyces hygroscopicus NBRC 12859 - ST 56:206	GCF_001570645.1 | Streptomyces hygroscopicus NBRC 100766 - ST 78:207	GCF_001652895.1 | Streptomyces sp. NBRC 109436 - ST 401:208	GCF_001705785.1 | Streptomyces hygroscopicus OsiSh-2 - ST 403:209
GCF_000721535.1 | Streptomyces hygroscopicus NRRL B-1477 - ST 316:203	1	216500	195592	200154	215031	214380	218968
GCF_001553435.1 | Streptomyces hygroscopicus NBRC 16556 - ST 78:204	216500	1	204173	206151	86612	117461	93647
GCF_001553455.1 | Streptomyces hygroscopicus NBRC 13472 - ST 56:205	195592	204173	1	94957	207576	205023	206302
GCF_001553475.1 | Streptomyces hygroscopicus NBRC 12859 - ST 56:206	200154	206151	94957	1	206315	204816	208374
GCF_001570645.1 | Streptomyces hygroscopicus NBRC 100766 - ST 78:207	215031	86612	207576	206315	1	122901	84148
GCF_001652895.1 | Streptomyces sp. NBRC 109436 - ST 401:208	214380	117461	205023	204816	122901	1	120426
GCF_001705785.1 | Streptomyces hygroscopicus OsiSh-2 - ST 403:209	218968	93647	206302	208374	84148	120426	1
