	GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385
GCF_000411495.1 | Streptomyces sp. HPH0547 - ST 256:376	1.0	0.9327351907	0.9421127582000001	0.9644968359	0.938475829	0.900956304	0.8484889591	0.8742863344	0.9623826045	0.9567305821000001
GCF_000719425.1 | Streptomyces sp. NRRL F-5639 - ST 294:377	0.9265335729	1.0	0.9310092094	0.9323394331	0.9108315692000001	0.88049232	0.8291013340000001	0.8538886027	0.9370397329000001	0.9428205325000001
GCF_000719735.1 | Streptomyces sp. NRRL F-5917 - ST 301:378	0.9275901835	0.9227933104	1.0	0.9246209403000001	0.9090259227	0.8803720017000001	0.8352470689	0.8597490672	0.9281990606	0.9404863203
GCF_000720885.1 | Streptomyces albus NRRL B-2362 - ST 256:379	0.9696685009	0.9436126090000001	0.9441324982	1.0	0.9353277755	0.9036175951000001	0.8521834899	0.8774690434	0.9678094414	0.9582164093000001
GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156:380	0.9747397825	0.9523594080000001	0.9589337615	0.9662888104	1.0	0.9455023503000001	0.8985326376	0.9236382698000001	0.9788888317000001	0.9774891366
GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156:381	0.9635926029	0.9480090931	0.9563187978000001	0.9612844721	0.9736138470000001	1.0	0.9119397193000001	0.9325638841	0.9775070127000001	0.9743053507
GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156:382	0.961164152	0.9454883566000001	0.9609771713	0.9602006697000001	0.9799854465000001	0.9658902274000001	1.0	0.961844291	0.9745687487	0.9703489001000001
GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156:383	0.9583741090000001	0.942279626	0.9571937116	0.9567328925	0.9748048954	0.9558070852	0.9307537283	1.0	0.9711191762	0.9668873114000001
GCF_004768505.1 | Streptomyces albus DSM 40763 - ST 256:384	0.9364700292	0.91791259	0.9173477163	0.9367279787	0.9170940845000001	0.8893572936	0.8371576109000001	0.8620595475	1.0	0.9430421292000001
GCF_011006355.1 | Streptomyces albus CAS922 - ST 256:385	0.9352421117	0.9278133795	0.9337564644	0.9316987661	0.9199849799	0.8905119584000001	0.8373575604	0.862241409	0.9473694451	1.0
