	GCF_000717595.1 | Streptomyces flavochromogenes NRRL B-2684 - ST 272:460	GCF_001905825.1 | Streptomyces sp. CB02009 - ST 423:461	GCF_008042145.1 | Streptomyces sp. adm13(2018) - ST 592:462	GCF_017877015.1 | Streptomyces sp. PvR006 - ST 756:463
GCF_000717595.1 | Streptomyces flavochromogenes NRRL B-2684 - ST 272:460	1	433700	496227	421983
GCF_001905825.1 | Streptomyces sp. CB02009 - ST 423:461	433700	1	516677	287799
GCF_008042145.1 | Streptomyces sp. adm13(2018) - ST 592:462	496227	516677	1	504796
GCF_017877015.1 | Streptomyces sp. PvR006 - ST 756:463	421983	287799	504796	1
