	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.9028977423000001	0.9280692596000001	0.5923959818	0.9942594889	0.6977388883	0.9966563027	0.9871014608	0.2509470884	0.25094264180000003	0.6946671333000001	0.6523441746	0.6496221768	0.6521484089	0.6521278143	0.6515419213	0.6522696362
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9263373282	1.0	0.8783362448	0.6015953541	0.9288777598	0.7010867275	0.9360566610000001	0.9265273713000001	0.2581309478	0.2581374306	0.6987281755	0.6592481806	0.6574714032	0.6590993155	0.6590905517	0.655754652	0.6592409775
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	0.9789097602000001	0.9030098287	1.0	0.5848605218	0.9929568782	0.6921190325000001	1.0018813666	0.9905183712000001	0.25127778770000003	0.25122533210000003	0.6901416412	0.6471493957000001	0.644360979	0.6471011365	0.6467820830000001	0.6467124713	0.6471803753
GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	0.6994250223	0.6923137180000001	0.654664962	1.0	0.6959048072	0.7211693967	0.7002272943000001	0.6959263595	0.2911684876	0.2913491957	0.7058175009000001	0.6334961456	0.6333671079000001	0.6334071731	0.6332734381	0.6418710247	0.6334632645
GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	1.0026637015	0.9130267781	0.9493441227	0.5943966096000001	1.0	0.7034218056	1.0147227534	1.0072368236	0.2529300952	0.25292714510000003	0.700206082	0.6581129198	0.6548022031	0.6580058903	0.6579878357000001	0.6565791054	0.6579960960000001
GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	0.7393421536	0.7240918958	0.6952981286000001	0.6472331707	0.7391163644000001	1.0	0.7397090456000001	0.7345859489000001	0.2711604549	0.2713009377	0.7597007530000001	0.6775724968	0.6777526570000001	0.6773972963	0.6771835343	0.6792150173	0.6772746683
GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	0.9869252040000001	0.9034629821	0.9405737439	0.5872848484000001	0.9963930119000001	0.6912692093	1.0	0.9941596896	0.2484438353	0.2484400115	0.6884674176000001	0.6458252609	0.6432644836	0.6456819269	0.6458308228	0.6449208778000001	0.6456894586
GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	0.9890734902	0.9048871541	0.9409510499	0.5906102670000001	1.000789669	0.6946352925	1.005967834	1.0	0.2500636073	0.2500605589	0.6906311372	0.6485761922000001	0.6458512186	0.6485624741	0.6483957467	0.6477993033	0.6485019739
GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	0.2886745589	0.2894248574	0.2740426628	0.283688453	0.2885169343	0.2943744848	0.28861290900000003	0.2870847178	1.0	1.0040123601	0.2884987624	0.2899426898	0.2881396314	0.2898448306	0.2898189861	0.287681699	0.2898975965
GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	0.2886735628	0.2894362559	0.2739893643	0.2838685691	0.28851768580000003	0.2945311968	0.28861258500000003	0.2870853142	1.0040266859	1.0	0.2886401798	0.2901132033	0.2884039415	0.2899995935	0.2901895264	0.2877486661	0.2900569368
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	0.7562693500000001	0.7414423801000001	0.7123209369	0.6508233249	0.7559099785000001	0.7805302977	0.7569101292	0.7503763464000001	0.2730343905	0.2731643298	1.0	0.7011527785	0.6974729475	0.7011299754	0.7011499759	0.7018440048	0.7011388928000001
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	0.6941951656	0.683790619	0.6529006117	0.5709784428	0.6944638837	0.680468501	0.6940344079	0.6888093471000001	0.2682196615	0.2683735705	0.6853583489	1.0	0.9543349787000001	1.0062960731	1.0131016895	0.9240258657	1.0169255061
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	0.7083909291	0.6988088863	0.6661608577	0.5849767339	0.7080545738	0.6974785219	0.7083744686	0.7028746256	0.2731421952	0.2733888473	0.6986179957	0.9779309581000001	1.0	0.9778740482	0.9793889231	0.9474194747	0.9776059593
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	0.6891984990000001	0.6789192872	0.6483474031	0.5669591907	0.6895600886000001	0.6755986973	0.6890927674	0.6840422605	0.26627910790000003	0.2664174864	0.6806074063	0.9993528733	0.9476951443	1.0	0.9947904629000001	0.9165948496	1.0122010532
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	0.6940302597	0.6836914835	0.6525914687000001	0.5708314508	0.6943972601	0.6801419035	0.6941057270000001	0.6886825395	0.2681304673	0.26846944770000003	0.6854201339	1.0131970704	0.9558477473	1.0017962721	1.0	0.9253149827	1.019162726
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	0.6923496535	0.6791940886000001	0.6515264932	0.5776992782	0.6918542682000001	0.6811423059	0.6920711236	0.6870001383000001	0.2657473853	0.26580545380000004	0.685052667	0.9227040928	0.9232371543000001	0.9216428192	0.9239043827000001	1.0	0.9224909677
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	0.6942467288	0.6839120830000001	0.6530549845	0.5710564656	0.6944715331	0.6802976533	0.6940193090000001	0.6888603929	0.26822851470000003	0.2683721155	0.6854740058000001	1.0171172592	0.9541977127000001	1.0194257066	1.0192589404	0.9239866308	1.0
