	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	10010251	9889801	8437241	9340561	9146074	9805532	8923731	9188176	8375535	8896708	9109315	9459232	9291063	9260582	9239095	9321596	9092922	9179644	9260026
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	9889801	9839340	8295222	9196504	8983834	9631510	8785078	9031217	8257112	8778811	8885812	9289025	9056347	9046721	9015217	9175238	8938328	9024020	9026503
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	8437241	8295222	10001327	8229911	8141895	8219675	7647105	8210249	7319879	8032506	8357514	8387939	8384496	8365312	8347621	8385769	8283816	8292365	8315207
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	9340561	9196504	8229911	9978746	9091977	9278764	8561100	9235667	8489552	8906930	8967790	9422965	9078674	9144129	9102403	9271715	8984328	9085269	9059350
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	9146074	8983834	8141895	9091977	10489082	9142630	8418125	8895028	8315018	9261178	8940465	9059706	8847197	8937261	8896795	9083785	8789952	8833254	8850699
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	9805532	9631510	8219675	9278764	9142630	9992374	8955567	9163212	8404814	8826285	8831385	9251857	9012449	9003512	8985327	9109726	8887073	8954323	8985727
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	8923731	8785078	7647105	8561100	8418125	8955567	9219556	8396701	7726644	8129625	8237300	8569583	8362018	8394967	8368178	8438669	8165574	8211795	8387278
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	9188176	9031217	8210249	9235667	8895028	9163212	8396701	9832255	8522683	8685985	8961196	9365527	9051805	9113101	9113866	9217529	9006398	9091585	9062789
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	8375535	8257112	7319879	8489552	8315018	8404814	7726644	8522683	9023059	8042043	7943582	8539705	8110825	8117720	8144801	8380678	8007383	8083445	8077867
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	8896708	8778811	8032506	8906930	9261178	8826285	8129625	8685985	8042043	9815031	8842105	8906848	8699957	8787347	8718092	8930390	8652147	8696374	8774143
GCF_017933115.1 | Streptomyces sp. LBUM 1482 - ST 393:107	9109315	8885812	8357514	8967790	8940465	8831385	8237300	8961196	7943582	8842105	9782455	9114297	9789998	9781960	9509072	9154647	9074074	9081999	9511878
GCF_017933235.1 | Streptomyces sp. LBUM 1480 - ST 757:108	9459232	9289025	8387939	9422965	9059706	9251857	8569583	9365527	8539705	8906848	9114297	9982980	9265395	9287079	9279671	9963881	9168656	9276356	9263190
GCF_017933255.1 | Streptomyces sp. LBUM 1475 - ST 393:109	9291063	9056347	8384496	9078674	8847197	9012449	8362018	9051805	8110825	8699957	9789998	9265395	9741971	9755942	9806128	9133968	9129978	9130144	9554784
GCF_017968905.1 | Streptomyces sp. LBUM 1487 - ST 393:110	9260582	9046721	8365312	9144129	8937261	9003512	8394967	9113101	8117720	8787347	9781960	9287079	9755942	9965204	9726970	9182164	9164971	9235762	9604041
GCF_017968935.1 | Streptomyces sp. LBUM 1488 - ST 393:111	9239095	9015217	8347621	9102403	8896795	8985327	8368178	9113866	8144801	8718092	9509072	9279671	9806128	9726970	9977688	9143391	9104030	9196287	9631367
GCF_017968965.1 | Streptomyces sp. LBUM 1486 - ST 757:112	9321596	9175238	8385769	9271715	9083785	9109726	8438669	9217529	8380678	8930390	9154647	9963881	9133968	9182164	9143391	10047105	9112272	9176777	9128721
GCF_017969005.1 | Streptomyces sp. LBUM 1483 - ST 758:113	9092922	8938328	8283816	8984328	8789952	8887073	8165574	9006398	8007383	8652147	9074074	9168656	9129978	9164971	9104030	9112272	9821301	9829346	9059431
GCF_017969025.1 | Streptomyces sp. LBUM 1481 - ST 759:114	9179644	9024020	8292365	9085269	8833254	8954323	8211795	9091585	8083445	8696374	9081999	9276356	9130144	9235762	9196287	9176777	9829346	9872570	9097161
GCF_017969045.1 | Streptomyces sp. LBUM 1477 - ST 393:115	9260026	9026503	8315207	9059350	8850699	8985727	8387278	9062789	8077867	8774143	9511878	9263190	9554784	9604041	9631367	9128721	9059431	9097161	9765892
