	GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545
GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	1.0	0.9199083603	0.9201099340000001	0.9209786481000001	0.9802625651	0.9206893694	0.9204086684	0.9708713757	0.9201341909	0.9689336651	0.9681546362000001	0.9795911866	0.9797227468	0.9796070414
GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	0.9199083603	1.0	0.9932750069	0.9933205111000001	0.92150224	0.9938733660000001	0.9742824262	0.9202763528000001	0.9747214512000001	0.9196109892000001	0.9196830499	0.9209797306	0.9202702291	0.9202516793000001
GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	0.9201099340000001	0.9932750069	1.0	0.9930826996000001	0.9216602966	0.9948315842000001	0.9739978598000001	0.9200317974000001	0.9742515713000001	0.9195280193	0.9193357373000001	0.9210268243	0.9202023685	0.9202105189
GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	0.9209786481000001	0.9933205111000001	0.9930826996000001	1.0	0.9221204748	0.9930857642	0.9746766105	0.9212155836	0.9749663404000001	0.9207530995000001	0.9206098654	0.9220115211000001	0.9213723402	0.9212940237
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	0.9802625651	0.92150224	0.9216602966	0.9221204748	1.0	0.9218868275000001	0.9216932838	0.971312052	0.9213894231	0.9696096272	0.9695830834	0.9993282913	0.9970660960000001	0.9973054536
GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	0.9206893694	0.9938733660000001	0.9948315842000001	0.9930857642	0.9218868275000001	1.0	0.9745411820000001	0.9210068916	0.9750841274000001	0.9202841161	0.9203998213000001	0.9216493801000001	0.9209787567000001	0.9207904199
GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	0.9204086684	0.9742824262	0.9739978598000001	0.9746766105	0.9216932838	0.9745411820000001	1.0	0.9202889099	0.9876586153	0.9194124669	0.9193761994	0.9210816847000001	0.9201159430000001	0.9201647313
GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	0.9708713757	0.9202763528000001	0.9200317974000001	0.9212155836	0.971312052	0.9210068916	0.9202889099	1.0	0.9203814223000001	0.9734317363	0.9730861058	0.9705961201000001	0.9702081867000001	0.9702629595000001
GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	0.9201341909	0.9747214512000001	0.9742515713000001	0.9749663404000001	0.9213894231	0.9750841274000001	0.9876586153	0.9203814223000001	1.0	0.9198988246	0.9198156153	0.9206598263	0.9200836801000001	0.9200283927
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	0.9689336651	0.9196109892000001	0.9195280193	0.9207530995000001	0.9696096272	0.9202841161	0.9194124669	0.9734317363	0.9198988246	1.0	0.9814359912	0.9689216894	0.968593985	0.9685729917
GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	0.9681546362000001	0.9196830499	0.9193357373000001	0.9206098654	0.9695830834	0.9203998213000001	0.9193761994	0.9730861058	0.9198156153	0.9814359912	1.0	0.9688016075	0.9686402577000001	0.9686107907
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	0.9795911866	0.9209797306	0.9210268243	0.9220115211000001	0.9993282913	0.9216493801000001	0.9210816847000001	0.9705961201000001	0.9206598263	0.9689216894	0.9688016075	1.0	0.9971975102	0.9974449944
GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	0.9797227468	0.9202702291	0.9202023685	0.9213723402	0.9970660960000001	0.9209787567000001	0.9201159430000001	0.9702081867000001	0.9200836801000001	0.968593985	0.9686402577000001	0.9971975102	1.0	0.9984326159
GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545	0.9796070414	0.9202516793000001	0.9202105189	0.9212940237	0.9973054536	0.9207904199	0.9201647313	0.9702629595000001	0.9200283927	0.9685729917	0.9686107907	0.9974449944	0.9984326159	1.0
