	GCF_001685355.1 | Streptomyces lincolnensis NRRL 2936 - ST 402:242	GCF_003344445.1 | Streptomyces lincolnensis LC-G - ST 402:243	GCF_014083905.1 | Streptomyces lincolnensis B48 - ST 402:244
GCF_001685355.1 | Streptomyces lincolnensis NRRL 2936 - ST 402:242	1	582	358
GCF_003344445.1 | Streptomyces lincolnensis LC-G - ST 402:243	582	1	321
GCF_014083905.1 | Streptomyces lincolnensis B48 - ST 402:244	358	321	1
