	GCF_000719895.1 | Streptomyces sp. NRRL F-2799 - ST 304:554	GCF_009865205.1 | Streptomyces sp. SID2999 - ST 634:555	GCF_009865595.1 | Streptomyces sp. SID1328 - ST 639:556
GCF_000719895.1 | Streptomyces sp. NRRL F-2799 - ST 304:554	6114646	5382340	5249470
GCF_009865205.1 | Streptomyces sp. SID2999 - ST 634:555	5382340	6339223	5377949
GCF_009865595.1 | Streptomyces sp. SID1328 - ST 639:556	5249470	5377949	6910392
