	GCF_001417695.1 | Streptomyces sp. JHA19 - ST 367:464	GCF_003074055.1 | Streptomyces nigra 452 - ST 489:465	GCF_003363195.1 | Streptomyces sp. M7 - ST 502:466	GCF_018070255.1 | Streptomyces sp. RK62 - ST 766:467
GCF_001417695.1 | Streptomyces sp. JHA19 - ST 367:464	1	196041	101830	92554
GCF_003074055.1 | Streptomyces nigra 452 - ST 489:465	196041	1	197884	192298
GCF_003363195.1 | Streptomyces sp. M7 - ST 502:466	101830	197884	1	108362
GCF_018070255.1 | Streptomyces sp. RK62 - ST 766:467	92554	192298	108362	1
