	GCF_002028425.1 | Streptomyces katrae 4 - ST 432:703	GCF_003634815.1 | Streptomyces sp. 3211.6 - ST 510:704	GCF_003814735.1 | Streptomyces sp. Ag109_G2-6 - ST 432:705
GCF_002028425.1 | Streptomyces katrae 4 - ST 432:703	1	44675	13386
GCF_003634815.1 | Streptomyces sp. 3211.6 - ST 510:704	44675	1	43939
GCF_003814735.1 | Streptomyces sp. Ag109_G2-6 - ST 432:705	13386	43939	1
