	GCF_000009765.2 | Streptomyces avermitilis MA-4680 - ST 160:118	GCF_000764715.1 | Streptomyces avermitilis NBRC 14893 - ST 160:119	GCF_001514135.1 | Streptomyces avermitilis DSM 46492 - ST 160:120	GCF_002017835.1 | Streptomyces avermitilis MJM 7007 - ST 160:121	GCF_005405965.1 | Streptomyces avermitilis NBRC 14893 - ST 160:122	GCF_005406005.1 | Streptomyces avermitilis cw2 - ST 160:123
GCF_000009765.2 | Streptomyces avermitilis MA-4680 - ST 160:118	9119895	9065239	8766279	8507328	9112086	8096074
GCF_000764715.1 | Streptomyces avermitilis NBRC 14893 - ST 160:119	9065239	10426843	8912622	9441299	10404456	8230546
GCF_001514135.1 | Streptomyces avermitilis DSM 46492 - ST 160:120	8766279	8912622	8950231	8354411	8922023	8040610
GCF_002017835.1 | Streptomyces avermitilis MJM 7007 - ST 160:121	8507328	9441299	8354411	9446868	9460656	8049004
GCF_005405965.1 | Streptomyces avermitilis NBRC 14893 - ST 160:122	9112086	10404456	8922023	9460656	10484508	8263780
GCF_005406005.1 | Streptomyces avermitilis cw2 - ST 160:123	8096074	8230546	8040610	8049004	8263780	8300465
