	GCF_010548465.1 | Streptomyces sp. SID14436 - ST 651:476	GCF_010550365.1 | Streptomyces sp. SID7958 - ST 658:477	GCF_010550435.1 | Streptomyces sp. SID8111 - ST 660:478	GCF_010550645.1 | Streptomyces sp. SID9913 - ST 661:479
GCF_010548465.1 | Streptomyces sp. SID14436 - ST 651:476	1	584	109378	48650
GCF_010550365.1 | Streptomyces sp. SID7958 - ST 658:477	584	1	101800	46540
GCF_010550435.1 | Streptomyces sp. SID8111 - ST 660:478	109378	101800	1	103638
GCF_010550645.1 | Streptomyces sp. SID9913 - ST 661:479	48650	46540	103638	1
