	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	1	530	117420	440	757	945	229347	1832	978	1945	1920	1735	1386	1088	493	234380	187143	1564	1268	183625	1586	1755	1986	118771	298182	1699	1268	118733	113206	393005	382343	393314	512	400599	151	398729	378350
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	530	1	107928	635	951	1197	209838	1956	1214	2187	1854	2145	1517	1289	898	215135	168826	1913	1359	165201	1473	2179	1839	108872	275067	1741	1295	107393	101441	387219	378803	387528	727	395107	1233	393684	373342
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	117420	107928	1	113272	118136	113312	219217	116812	117538	102354	100561	114184	118318	114172	117178	223944	179610	111523	117292	177273	116070	115631	116621	114092	298966	116480	116590	113416	106343	394242	377080	394259	117857	399962	115128	401535	378942
GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	440	635	113272	1	1526	1492	220169	1897	1704	1561	1359	1993	1496	1561	1450	225735	181198	1308	1028	178308	1188	1089	1256	117643	286868	1241	861	113568	107929	391094	380689	391240	359	399553	874	397494	376635
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	757	951	118136	1526	1	1741	228615	1917	1912	1666	1731	2346	2075	1244	1512	234180	186203	1253	1278	182938	1406	1879	1577	118297	297686	1439	1137	118408	112793	391451	381327	391868	958	400290	831	397505	377259
GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	945	1197	113312	1492	1741	1	219937	2009	1844	1666	1820	2341	1761	1539	1460	225213	180987	1558	1253	177919	1519	1414	1745	117413	286433	1579	1185	113355	108068	390954	380843	391051	689	399239	1339	397136	376500
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	229347	209838	219217	220169	228615	219937	1	226104	227446	201117	195260	221419	228408	220654	227410	1808	210071	217875	226891	206654	225949	224384	225921	214153	285807	225493	226087	222534	210152	391172	377269	390910	229337	391711	226004	391930	378849
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	1832	1956	116812	1897	1917	2009	226104	1	2032	2432	2297	2666	2223	1896	2102	232112	184076	2364	2040	181180	2179	2196	2272	116904	295908	2273	2052	117940	111728	389696	379670	389826	1840	398135	1944	395437	375837
GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	978	1214	117538	1704	1912	1844	227446	2032	1	1559	1767	1952	1748	1200	1892	233678	185061	1428	1531	182513	1854	1565	1928	118613	297142	1825	1517	117956	113523	391461	381449	391878	1191	399910	948	397295	376982
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	1945	2187	102354	1561	1666	1666	201117	2432	1559	1	1904	2351	2015	1583	1506	206892	160810	1896	1801	157402	2230	1731	1977	105910	259280	2086	1719	102705	97389	368825	360748	368971	1802	375879	2706	374018	356775
