	GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142
GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	1	50539	7085	54195	248555	108160	55020	61036	61057	60923	61009	61059	61497	61595	239742	60438	60067	49486
GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	50539	1	48498	30010	250355	109174	52370	51024	51039	50938	50987	51026	51259	51440	241510	50392	50163	49349
GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	7085	48498	1	52081	244852	107856	52767	60205	60146	60189	60184	60214	60366	60504	235450	59156	58804	46499
GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	54195	30010	52081	1	248640	105935	52975	57258	57309	57333	57272	57335	57271	57445	240519	56336	56052	49161
GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	248555	250355	244852	248640	1	217651	247848	249823	249814	249886	249854	249849	250269	250377	48520	244346	244556	250831
GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	108160	109174	107856	105935	217651	1	107172	108644	108651	108607	108584	108694	108691	108659	214682	107535	107123	108993
GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	55020	52370	52767	52975	247848	107172	1	50003	49990	49893	49943	49949	50141	50286	240371	49337	48943	56738
GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	61036	51024	60205	57258	249823	108644	50003	1	204	138	79	201	381	438	240371	481	316	55797
GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	61057	51039	60146	57309	249814	108651	49990	204	1	222	225	285	315	360	240932	436	253	56031
GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	60923	50938	60189	57333	249886	108607	49893	138	222	1	30	163	289	351	240636	410	223	55890
GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	61009	50987	60184	57272	249854	108584	49943	79	225	30	1	177	291	347	241540	412	227	55741
GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	61059	51026	60214	57335	249849	108694	49949	201	285	163	177	1	376	431	241277	498	310	56019
GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	61497	51259	60366	57271	250269	108691	50141	381	315	289	291	376	1	190	241919	433	360	55987
GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	61595	51440	60504	57445	250377	108659	50286	438	360	351	347	431	190	1	242021	494	421	56169
GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	239742	241510	235450	240519	48520	214682	240371	240371	240932	240636	241540	241277	241919	242021	1	234921	234539	243871
GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	60438	50392	59156	56336	244346	107535	49337	481	436	410	412	498	433	494	234921	1	291	55396
GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	60067	50163	58804	56052	244556	107123	48943	316	253	223	227	310	360	421	234539	291	1	54876
GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142	49486	49349	46499	49161	250831	108993	56738	55797	56031	55890	55741	56019	55987	56169	243871	55396	54876	1
