	GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592
GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	1.0	0.7366198495	0.7780407332	0.7774473882	0.7825171291	0.7802846449	0.7737127678	0.754496802	0.7387411993	0.7833522074	0.7857299827	0.7757199693	0.7759884501000001	0.7774878236	0.7852882075000001	0.7736386781	0.7717505223000001
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	0.7374310553000001	1.0	0.8583895086000001	0.8586188109	0.8884171682	0.9498444038	0.8545411528	0.8299597992000001	0.9087382014000001	0.8825409205	0.8857932664	0.8482186206000001	0.8501417928	0.8612076385	0.8831044962	0.8547050838	0.852601135
GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	0.7429382227	0.8187602755000001	1.0	0.97045954	0.8728122846	0.8656553286	0.9097701455	0.8959699285	0.8219994079	0.8667638978000001	0.8666051368000001	0.9205392742	0.9286413619	0.9224352932000001	0.8654688684	0.9098566007000001	0.9075122377
GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	0.7349306714	0.8107701613	0.9607323824	1.0	0.863495376	0.8561906644	0.9085699634000001	0.8948883638	0.8103036379	0.858271976	0.858802127	0.9115820663	0.9189989571	0.9198083099000001	0.8553254001	0.9085971476	0.9063751667000001
GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	0.7393119935	0.8384416339	0.8635835894	0.8630154116000001	1.0	0.8884932433	0.8587370532	0.8357661324000001	0.8384055667	0.9561771092	0.9538474498	0.85741087	0.8559047065000001	0.8712848957	0.9529641582	0.8577474581000001	0.8566904742
GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	0.7238266589	0.8801485475	0.8409615748	0.8401883170000001	0.8723720537	1.0	0.8352891154000001	0.8131832404	0.8809790016	0.8655632387000001	0.8692973117	0.8358645739	0.8379836355	0.8462082647	0.8695862058	0.8349065637	0.8331431447000001
GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	0.7165028562	0.7904841004000001	0.8823064934	0.8900638736	0.841713836	0.8338606325	1.0	0.8776072005000001	0.7869468969000001	0.8416567374	0.8457676012	0.8809425240000001	0.8843999523	0.9306818824	0.8403028852000001	0.9877956769	0.9964448878000001
GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	0.6819072644	0.7492848735000001	0.8480295375	0.8555815508	0.7995005804	0.7922729334	0.8565050525000001	1.0	0.7426288964000001	0.7966511967000001	0.800456201	0.8352213839	0.8426234714	0.8495323134	0.7938768325000001	0.8535807627	0.8536412550000001
GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	0.7240378233	0.8896715721	0.8437039272	0.8401200683000001	0.8697394881	0.9307927185	0.8328680434	0.8053281208	1.0	0.8632227210000001	0.8631208138	0.8289137249	0.8304859015	0.8404383436	0.8623070333	0.8319022636000001	0.8290226474
GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	0.7337109495	0.8257047341	0.8501946635000001	0.8503887331000001	0.9479214976	0.8739472463	0.8512649864	0.8255972314000001	0.8249390416	1.0	0.9428042955	0.8459232517	0.8477739694	0.8548591543	0.9493619640000001	0.8511301963000001	0.8493448742
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	0.7306010803	0.8227376149000001	0.8438745225000001	0.8447432537	0.9387544496	0.8713523506	0.8492193212	0.8235247274	0.8188599678	0.9359671536	1.0	0.8414137012	0.8435308833	0.8527707271	0.9326754329	0.8468686093000001	0.8468272745000001
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	0.7245161603	0.7913578265000001	0.9003991148	0.9006654728	0.8476141372	0.8415840783	0.8884899448	0.8631311620000001	0.789920713	0.8435408889	0.8451731673	1.0	0.9638490854	0.898727428	0.8454279139	0.8874593470000001	0.8865678511
GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	0.6778185066	0.7417738622000001	0.8494852069000001	0.8491762125000001	0.7913155151	0.7890639260000001	0.8341971720000001	0.8143738197	0.7401529857	0.7906245832000001	0.792414052	0.9014135860000001	1.0	0.8488431963	0.7924252403000001	0.8330774651	0.8325439371000001
GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	0.717081473	0.7934229774	0.8909645999	0.8974223288000001	0.8505526311	0.8413382904000001	0.9269109293000001	0.8669357146000001	0.7908822525	0.8417856998000001	0.845863345	0.8874824968	0.8962810468	1.0	0.8436895352	0.9251636814	0.9246602155
GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	0.7323237694	0.8226368221	0.8452304555	0.8437816187	0.940625445	0.8741886889	0.8461975177000001	0.8191421415	0.8204782051	0.9452309941	0.9354005216	0.8441264961	0.8460074545	0.8530643859	1.0	0.8448037208	0.8437945003
GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	0.7233728201	0.7982929504	0.8909361779	0.8987109183	0.8488863563	0.8415508714000001	0.9973623534	0.8830813593	0.7936470102000001	0.8496735173000001	0.8515949226	0.8884426014000001	0.8917666655	0.9379240721000001	0.8470436202	1.0	0.9956555856
GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592	0.7172355561	0.7915033912	0.8832568233	0.8910816768	0.8427037338000001	0.8346857332000001	1.0	0.8777935006	0.7861082243	0.8427543839	0.8463943039	0.8821729817	0.8857963295	0.9317344325	0.8409061229	0.989623503	1.0
