	GCF_000009765.2 | Streptomyces avermitilis MA-4680 - ST 160:118	GCF_000764715.1 | Streptomyces avermitilis NBRC 14893 - ST 160:119	GCF_001514135.1 | Streptomyces avermitilis DSM 46492 - ST 160:120	GCF_002017835.1 | Streptomyces avermitilis MJM 7007 - ST 160:121	GCF_005405965.1 | Streptomyces avermitilis NBRC 14893 - ST 160:122	GCF_005406005.1 | Streptomyces avermitilis cw2 - ST 160:123	GCF_009862865.1 | Streptomyces sp. SID5469 - ST 160:124
GCF_000009765.2 | Streptomyces avermitilis MA-4680 - ST 160:118	1	1340	1377	2570	3119	2256	6
GCF_000764715.1 | Streptomyces avermitilis NBRC 14893 - ST 160:119	1340	1	92	1419	2195	1105	1369
GCF_001514135.1 | Streptomyces avermitilis DSM 46492 - ST 160:120	1377	92	1	1544	2018	1172	1635
GCF_002017835.1 | Streptomyces avermitilis MJM 7007 - ST 160:121	2570	1419	1544	1	3463	1818	2942
GCF_005405965.1 | Streptomyces avermitilis NBRC 14893 - ST 160:122	3119	2195	2018	3463	1	2326	3492
GCF_005406005.1 | Streptomyces avermitilis cw2 - ST 160:123	2256	1105	1172	1818	2326	1	2252
GCF_009862865.1 | Streptomyces sp. SID5469 - ST 160:124	6	1369	1635	2942	3492	2252	1
