	GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592
GCF_000980885.2 | Streptomyces malaysiense MUSC 136 - ST 343:576	1	373987	413402	413220	394555	403613	406095	390707	375466	394593	399781	408686	410583	410162	396195	406637	404849
GCF_002154555.1 | Streptomyces murinus NRRL B-2286 - ST 438:577	373987	1	197734	201080	206255	113555	194303	186978	57429	204415	207122	193782	194532	193978	203803	193978	193801
GCF_003933295.1 | Streptomyces griseofuscus 64 - ST 521:578	413402	197734	1	31041	241259	217826	123462	113156	197732	239894	240751	110343	110454	125234	238156	123058	123047
GCF_003933485.1 | Streptomyces griseofuscus 199 - ST 522:579	413220	201080	31041	1	241392	221223	123507	112040	197909	240193	240515	109851	109337	125394	237210	123073	123114
GCF_004104485.1 | Streptomyces sp. endophyte_N2 - ST 551:580	394555	206255	241259	241392	1	228235	233915	221894	203409	78594	79219	235663	234764	237595	82066	234378	233291
GCF_004794665.1 | Streptomyces sp. S816 - ST 569:581	403613	113555	217826	221223	228235	1	210695	201369	108556	225672	229806	215003	216954	213428	225812	211346	210044
GCF_009862025.1 | Streptomyces sp. SID4946 - ST 622:582	406095	194303	123462	123507	233915	210695	1	98677	190199	235134	234163	122214	123506	37694	232653	1521	0
GCF_009862685.1 | Streptomyces sp. SID685 - ST 627:583	390707	186978	113156	112040	221894	201369	98677	1	184392	220340	221380	110180	114420	99469	219228	97132	97853
GCF_009862765.1 | Streptomyces sp. SID6137 - ST 628:584	375466	57429	197732	197909	203409	108556	190199	184392	1	202913	206317	190530	190975	190202	201529	189502	189135
GCF_010119355.1 | Streptomyces sp. TR1341 - ST 643:585	394593	204415	239894	240193	78594	225672	235134	220340	202913	1	78355	234750	235914	236440	83744	235269	234456
GCF_014138855.1 | Streptomyces murinus DSM 41827 - ST 689:586	399781	207122	240751	240515	79219	229806	234163	221380	206317	78355	1	235439	235981	237124	82079	233984	233725
GCF_014138905.1 | Streptomyces murinus DSM 40710 - ST 690:587	408686	193782	110343	109851	235663	215003	122214	110180	190530	234750	235439	1	42585	121988	232490	122351	122272
GCF_014673495.1 | Streptomyces griseofuscus DSM 40191 - ST 721:588	410583	194532	110454	109337	234764	216954	123506	114420	190975	235914	235981	42585	1	127401	234385	123253	123077
GCF_016457305.1 | Streptomyces sp. CRPSP2-6A1 - ST 731:589	410162	193978	125234	125394	237595	213428	37694	99469	190202	236440	237124	121988	127401	1	234588	36711	37724
GCF_016467295.1 | Streptomyces costaricanus Am1 - ST 732:590	396195	203803	238156	237210	82066	225812	232653	219228	201529	83744	82079	232490	234385	234588	1	232465	231762
GCF_900091975.1 | Streptomyces sp. LamerLS-31b - ST 622:591	406637	193978	123058	123073	234378	211346	1521	97132	189502	235269	233984	122351	123253	36711	232465	1	1504
GCF_900091985.1 | Streptomyces sp. DconLS - ST 622:592	404849	193801	123047	123114	233291	210044	0	97853	189135	234456	233725	122272	123077	37724	231762	1504	1
