	GCF_000253235.1 | Streptomyces venezuelae ATCC 10712 - ST 244:320	GCF_001418135.1 | Streptomyces aureus NRRL B-2808 - ST 368:321	GCF_001886595.1 | Streptomyces venezuelae NRRL B-65442 - ST 17:322	GCF_008639045.1 | Streptomyces venezuelae ATCC 21113 - ST 599:323	GCF_008639165.1 | Streptomyces venezuelae ATCC 10712 - ST 17:324	GCF_008705255.1 | Streptomyces venezuelae ATCC 10595 - ST 607:325
GCF_000253235.1 | Streptomyces venezuelae ATCC 10712 - ST 244:320	8226158	5705381	8385265	7524494	8384673	7455208
GCF_001418135.1 | Streptomyces aureus NRRL B-2808 - ST 368:321	5705381	7926662	5718717	5695683	5706745	5671335
GCF_001886595.1 | Streptomyces venezuelae NRRL B-65442 - ST 17:322	8385265	5718717	8380320	7548415	8222213	7484813
GCF_008639045.1 | Streptomyces venezuelae ATCC 21113 - ST 599:323	7524494	5695683	7548415	7893803	7543692	7402665
GCF_008639165.1 | Streptomyces venezuelae ATCC 10712 - ST 17:324	8384673	5706745	8222213	7543692	8223505	7476677
GCF_008705255.1 | Streptomyces venezuelae ATCC 10595 - ST 607:325	7455208	5671335	7484813	7402665	7476677	7871480
