	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	10010251	9889801	8437241	9340561	9146074	9805532	8923731	9188176	8375535	8896708
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	9889801	9839340	8295222	9196504	8983834	9631510	8785078	9031217	8257112	8778811
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	8437241	8295222	10001327	8229911	8141895	8219675	7647105	8210249	7319879	8032506
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	9340561	9196504	8229911	9978746	9091977	9278764	8561100	9235667	8489552	8906930
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	9146074	8983834	8141895	9091977	10489082	9142630	8418125	8895028	8315018	9261178
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	9805532	9631510	8219675	9278764	9142630	9992374	8955567	9163212	8404814	8826285
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	8923731	8785078	7647105	8561100	8418125	8955567	9219556	8396701	7726644	8129625
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	9188176	9031217	8210249	9235667	8895028	9163212	8396701	9832255	8522683	8685985
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	8375535	8257112	7319879	8489552	8315018	8404814	7726644	8522683	9023059	8042043
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	8896708	8778811	8032506	8906930	9261178	8826285	8129625	8685985	8042043	9815031
