	GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142
GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	1.0	0.9301612779	1.0044830019	0.9290533264	0.8340365424	0.7957646689000001	0.9180411314	0.9315305054	0.9316938617	0.9313230146	0.9314691879	0.9314415303	0.9339122362000001	0.9338991724000001	0.8182801872000001	0.9145559214000001	0.9159080836	0.929461835
GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	0.9309056289000001	1.0	0.9271011387	0.9587605042	0.8439997654	0.8054271818000001	0.935234856	0.9359756126000001	0.9359378033	0.9357893928000001	0.9358155414	0.9359137749	0.9368002329	0.9367938725	0.8345163374000001	0.9178690662000001	0.9171682390000001	0.9345425095000001
GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	0.9972620683000001	0.9197005007	1.0	0.9181251851000001	0.8246732844	0.7876350227000001	0.9091600712000001	0.9223436705	0.9222487917000001	0.9222518297000001	0.9222910899000001	0.9222563866000001	0.9230259333	0.9229998767	0.8065610108	0.9025691479	0.9023637329	0.9221445652
GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	0.9185540365	0.9471675315	0.9143221887	1.0	0.8298164904	0.7890477202	0.9196829791000001	0.9241027512000001	0.9241428961	0.9240100108	0.9241082202	0.9240114072000001	0.9243770161	0.9243580491000001	0.8140615615	0.9046977838	0.9042718995000001	0.9210723396
GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	0.8382178841	0.8475528120000001	0.8348088807	0.843509226	1.0	0.7640667077000001	0.8442139498000001	0.8467735707	0.8467306343000001	0.8467450647	0.8467250751000001	0.8466571812	0.8478324305	0.8478093655000001	0.9216015562000001	0.8292890180000001	0.8293795037	0.8469315953000001
GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	0.7942631265000001	0.8032646037000001	0.7918411338	0.7965608362000001	0.7588207205	1.0	0.8018304147	0.8057616596	0.8056565241	0.8056641597	0.8056498283	0.8057098554000001	0.8062237859	0.806211804	0.7526055099000001	0.7899269631	0.7896962524000001	0.8039468684000001
GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	0.9393249494	0.9561521426	0.9369736196	0.9517607698	0.8594772765	0.8219710011	1.0	0.956219578	0.9561319119	0.9559461032000001	0.9560773615	0.9560725447	0.9570905792000001	0.9570713119	0.8441695486	0.9364945870000001	0.935380457	0.9519798146
GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	0.9219181786	0.9255767352000001	0.9194356947000001	0.9250207883	0.8338554047000001	0.7989546848	0.9249094359000001	1.0	0.9992758597	0.9997322183	0.9997598235	1.0021780118	1.010432419	1.008082836	0.8170238312	0.9886950484	0.9848522245	0.9237132125
GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	0.9226543755000001	0.9261160276	0.9199139348	0.9256373567	0.8343326526	0.7993481823	0.9254008767	0.9998984849	1.0	0.9998799535	0.9999041959	1.0023079235	1.0109295948	1.0062446336	0.8177325496000001	0.9891543212	0.9853402218	0.9253099677000001
GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	0.9218496242	0.9255299258	0.9194805873	0.9250652283	0.8339510855000001	0.7989765705	0.9247821461	0.9998805929000001	0.9994056439000001	1.0	0.9998882816	1.002200236	1.0105250662	1.008174552	0.8172798736	0.9886170665	0.984945735	0.9226183729
