	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	1.0	0.9494017016	0.8666164645000001	0.9655184066	0.8662363404000001	0.9670077366000001	0.9393137509	0.8946176088000001	0.9604422594	0.9953953178	0.9615252780000001	0.9672171239	0.9611849115000001	0.9663658675000001	0.9472956218	0.9725157048	0.9671248847	0.9641785890000001	0.9649421212	0.9664915137000001	0.9653045448	0.8663288395000001	0.9471028573	0.8917148315000001	0.9394479152	0.8664942588000001	0.945303015	0.9461152333	0.9473781797	0.9613262533	0.8658502143	0.8917963233	0.9608134033	0.8949879059	0.9656994305000001	0.8911651622000001	0.8915585163	0.9476897488	0.9466811143	0.8537203845	0.8664017755000001	0.893589403	0.8663288395000001	0.9472819146	0.8665602353	0.9648980781000001	0.8672456083000001	0.9493038533	0.9468600435000001	0.8914144516	0.9470925462	0.9468760997000001	0.8916335996	0.8913390977000001	0.8660361658	0.9458255090000001	0.8914156219	0.8661766041000001	0.9654401127000001	0.8529330282	0.9670401248	0.9670972820000001	0.9674415784	0.9624577049	0.9622815479000001	0.9623487196	0.9620487904	0.9669264344	0.8663288395000001	0.8667890044000001	0.8663819530000001	0.8935852507000001	0.8922930097	0.9464427632	0.9472819146
GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	0.9494017016	1.0	0.8700787942	0.9506633153	0.87055326	0.9508894569	0.9506731562	0.9006970295000001	0.9487840267000001	0.9493894067	0.9494478151	0.9510405608	0.9487894060000001	0.9505855443000001	0.964504898	0.9524274087000001	0.9507327861	0.9501562170000001	0.9502675317	0.9507172189	0.9506120774000001	0.8704383598000001	0.9656393339	0.8983170762	0.9510457572000001	0.870365841	0.9684028348	0.9651216245	0.964868126	0.9487511196	0.8693190027000001	0.8982308411000001	0.94891999	0.9008536389	0.9506274469	0.8973481170000001	0.898357994	0.9693982507000001	0.9655403361	0.8552463664000001	0.8705110259000001	0.8999222005	0.8704383598000001	0.9645839399	0.870415373	0.9505480151000001	0.8710356758000001	0.9701980716	0.9692872818	0.8983711240000001	0.9693252404	0.9693436461	0.8983915854000001	0.8984867829000001	0.8697991923	0.9651162640000001	0.8983668736	0.8703374836000001	0.9507185371	0.8551986607000001	0.9512990152	0.951278736	0.9512195074	0.9492032751	0.9492568962000001	0.9493790654	0.9492630787	0.9513670375000001	0.8704383598000001	0.8705420027	0.8705156641	0.8999160778	0.8986331239	0.9651034547	0.9645839399
GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	0.8666164645000001	0.8700787942	1.0	0.8659023023	0.9858812491000001	0.866254415	0.8663174091	0.8692581485	0.8660995949	0.8662625056000001	0.8670810136	0.8664891427	0.8677428157	0.8665861210000001	0.8666606429	0.8668675939	0.8663813337	0.8661560827	0.8667543994	0.8662869522000001	0.8664855266	0.9863366468	0.8674196659000001	0.8690441864	0.8666421097	0.9630171930000001	0.8663082135	0.8672592663	0.8667232848	0.8668998879	0.8662695592	0.8689474562	0.8674644429	0.8698135313	0.8660237824	0.8678783734000001	0.8687844721	0.8671354910000001	0.8670382463	0.8513430987	0.9819002122	0.8662813434000001	0.9863366468	0.8674819167000001	0.9862314726	0.8667452059	0.9637361384	0.8690777866	0.8667739124	0.8683492686000001	0.8670721862	0.8668110950000001	0.8683022021000001	0.8682695874	0.8657274024	0.8666913334	0.8679240203	0.8663653508	0.8658184946	0.8513442119	0.8675630769	0.8676355789	0.8668796987	0.8681652116	0.8680503477	0.8679773225	0.8678524262	0.8675246131000001	0.9863366468	0.9863718554	0.9819087213000001	0.8662429914	0.8681491309	0.8666183072	0.8674819167000001
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	0.9655184066	0.9506633153	0.8659023023	1.0	0.8663347178	0.9784386606000001	0.9404472069	0.8951542581	0.9608505487000001	0.9656744978	0.9615970297	0.9784836132	0.9611522794	0.9816884294	0.9487312882000001	0.9680982484	0.9784844323	0.9739539965	0.9743519051	0.9832804654	0.9954595487000001	0.8661233375	0.94819137	0.8919153913000001	0.9403069769	0.8661858086	0.9469187656	0.947141953	0.9482876076000001	0.9608834743	0.8652721836	0.8919639339000001	0.9609428536	0.8957930608	0.9955297961	0.8918395574	0.8918578203	0.9490228838	0.9475337332	0.8531734016	0.8664298424	0.8940380289000001	0.8661233375	0.9488569397000001	0.8662390653	0.9746709257	0.867074376	0.9503209826000001	0.9484843221	0.8919510756000001	0.9483855458	0.9484927528	0.8919708837	0.8920088753000001	0.8654663678000001	0.946721766	0.8919048068000001	0.8665730634000001	0.9953930683000001	0.8529998319000001	0.9784850462	0.9784603011	0.9783941536	0.9615386266	0.9613243988	0.9614055737	0.961411423	0.9783860272	0.8661233375	0.8663733351	0.8664170554	0.8940300265000001	0.8925734315	0.947422312	0.9488569397000001
GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	0.8662363404000001	0.87055326	0.9858812491000001	0.8663347178	1.0	0.8661431558	0.8667882588	0.8687812851000001	0.8664212925	0.8662896533000001	0.8676420610000001	0.8665764868	0.8676298057	0.8670565589	0.8665911666	0.8674311318	0.8667742191000001	0.8664114329	0.8670589436	0.8665641989	0.8672961446	0.9922847723	0.8672383596000001	0.8682994133	0.8666052792000001	0.9631630249	0.8662671087	0.8663018176	0.8665972363000001	0.8670562024	0.8657033173	0.8682422145	0.8664122332	0.8696069118	0.8662296745	0.8679999805	0.8682145744	0.8670640626	0.8671726846000001	0.8515192634000001	0.9835833110000001	0.8665075288	0.9922847723	0.8664777902	0.9920524016000001	0.8672266935	0.9631379646	0.8694093173	0.8675392356	0.8682709996	0.867117652	0.8675663795	0.8684752853000001	0.8680785628000001	0.865990617	0.8667111425	0.8681372009	0.8668085226000001	0.8663037250000001	0.8513670981	0.8673264464	0.8674829623	0.8672621244000001	0.8673391949	0.8672719404	0.867234111	0.8675137894	0.8674005385	0.9922847723	0.9921369021	0.9835988681000001	0.8664975809000001	0.8681433196	0.8666376791	0.8664777902
GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	0.9670077366000001	0.9508894569	0.866254415	0.9784386606000001	0.8661431558	1.0	0.9405322657	0.8980242566000001	0.9601955897000001	0.9668680665	0.9612900548000001	0.9882430940000001	0.9605526398	0.9792336681	0.9486461753000001	0.9673335835	0.9874397807	0.9739533551	0.9746659017	0.9791229424000001	0.9782911401000001	0.8661924709000001	0.9486286353000001	0.8926197186	0.9402996919000001	0.8658396038	0.9469331132000001	0.9471511489000001	0.9487387578	0.9607765351	0.8653577479000001	0.8925519260000001	0.9601845109	0.8958010388000001	0.9784109280000001	0.8918396255000001	0.8923885837000001	0.9489789904	0.9489532307	0.8530106482	0.8667619402000001	0.8942343097000001	0.8661924709000001	0.9486313200000001	0.8663207230000001	0.9747978587	0.866655473	0.9505811321000001	0.9480604075	0.8926020744000001	0.9483337754000001	0.948132772	0.8927780417000001	0.8924677244	0.8658415884	0.9481144556000001	0.892385815	0.8665555210000001	0.9782949218	0.8530431133	0.9871112232	0.9874644285	0.9873843933	0.9608268176	0.960723207	0.9607438914	0.9610952105	0.9873799203	0.8661924709000001	0.8665298446	0.8667578568000001	0.8942249431	0.8932214328	0.9479214158	0.9486313200000001
GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	0.9393137509	0.9506731562	0.8663174091	0.9404472069	0.8667882588	0.9405322657	1.0	0.8939493746	0.9387889185	0.9392857057	0.9403622803	0.9406703783	0.9392914086	0.9407439996	0.9435121823	0.9428335585000001	0.9406701194	0.9399045933	0.9405888440000001	0.9406008837000001	0.9402905603	0.866243049	0.9455689944000001	0.8914408092	0.9923337556	0.8659552911	0.9454924617	0.9444105795000001	0.9439362066	0.9387646541	0.8659556265	0.8912924966	0.9388179708000001	0.89442625	0.9404145963	0.8906310896	0.8913977715	0.9472942409	0.9451219381	0.8542047394000001	0.8665918548	0.8929159485	0.866243049	0.9438633287	0.8662258804	0.9406671718	0.8667131113000001	0.9489256326000001	0.9463040116	0.8912429921	0.9461646937	0.9463291460000001	0.8912465772	0.8912997017000001	0.8660754119	0.9441060772000001	0.8913254404000001	0.8669407018	0.9404194224	0.8541265640000001	0.9412312192000001	0.9413178635	0.9414673661	0.9398773057	0.9399386475	0.9398982693000001	0.9399881067	0.9412583783	0.866243049	0.8664028019000001	0.8665913420000001	0.8929021242	0.8917313473	0.9445744770000001	0.9438633287
GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	0.8946176088000001	0.9006970295000001	0.8692581485	0.8951542581	0.8687812851000001	0.8980242566000001	0.8939493746	1.0	0.8941620965	0.8950767596	0.8959228724	0.8957959495000001	0.8947775477000001	0.8959014542	0.8941738091	0.8957604192	0.8955591061	0.8945650843	0.8948696174	0.8947026261000001	0.8950593363	0.8685648918000001	0.8963869643	0.9675366240000001	0.8940551694000001	0.8680612304	0.8941920889	0.8939681145	0.8944034426	0.8941808364	0.8670619357	0.9673123224	0.8940684241	0.9695188413	0.8950431593	0.9734243274000001	0.9673385455	0.8963611659	0.8971583527	0.8543893064	0.8691297322	0.9170114307	0.8685648918000001	0.8943618011000001	0.8683566048	0.8951623265	0.8689829718000001	0.8973109387	0.8951522061	0.9672214747000001	0.8957527112	0.8951859892	0.9672862727	0.9674532294	0.8676720315	0.8965871361000001	0.9674116978	0.8679245283	0.8954608660000001	0.8537966355000001	0.8961395911000001	0.8963888784	0.8961360408	0.8952649512	0.8951088392000001	0.895143455	0.8951700892000001	0.8963709546	0.8685648918000001	0.8684615419	0.8691138257000001	0.916997704	0.9674809723000001	0.8947583360000001	0.8943618011000001
GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	0.9604422594	0.9487840267000001	0.8660995949	0.9608505487000001	0.8664212925	0.9601955897000001	0.9387889185	0.8941620965	1.0	0.9606324955000001	0.9941900917000001	0.9604053493	0.9939127276	0.9606050171	0.9459168840000001	0.9643730171	0.9604822128	0.958416708	0.9590707937	0.9609257844	0.9609817718	0.8663722636000001	0.9460646123	0.8911609578	0.9387522785	0.8659633196000001	0.945102607	0.9447662306000001	0.9457203323000001	0.9960386244	0.8650493884	0.8909566231	0.9943779695	0.8946710228	0.9610835287	0.8909444983	0.8907666375000001	0.9471208703	0.9456448555	0.8531872764	0.8669199486	0.8931321934	0.8663722636000001	0.9459497911	0.8661946628	0.959134028	0.866747569	0.9486292958	0.9460966891	0.8908684518000001	0.9461599558	0.9461306249	0.8911502049000001	0.891067138	0.8655964224	0.9447373181000001	0.8907666120000001	0.8667005432	0.9605723776	0.8530398958000001	0.9610069776000001	0.9611544458000001	0.960759228	0.9772711791	0.9771731762	0.9772163844	0.9770887175	0.9608866685	0.8663722636000001	0.8664120513	0.8668958334	0.8931243354	0.8919918364	0.9452493624	0.9459497911
GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	0.9953953178	0.9493894067	0.8662625056000001	0.9656744978	0.8662896533000001	0.9668680665	0.9392857057	0.8950767596	0.9606324955000001	1.0	0.9617324915000001	0.967078462	0.9607909931	0.9661843191	0.9470935735	0.9724709536	0.9671543093	0.9640360851	0.9648246194000001	0.9661174785000001	0.9657656947000001	0.8665857995	0.9468138801	0.8914798331	0.9394185036	0.8662474858	0.9453894020000001	0.9456899072	0.9471659771000001	0.9607317231	0.8656989657	0.8915753254000001	0.9603837065	0.8947745463000001	0.9653344274000001	0.8910904316	0.8914170777	0.9475128258000001	0.9465884819	0.8532421211000001	0.8666330858	0.8934619844	0.8665857995	0.9469979309000001	0.8664147984	0.9649577783000001	0.8670793703	0.9491256052	0.9470539547000001	0.8915441477	0.9470926571	0.9470747437	0.8914937838	0.8914605356	0.8662134067	0.9457688017	0.8913780022000001	0.8663982684	0.9654833505	0.8530663255000001	0.9667296935	0.9669328513000001	0.9673566718000001	0.9612818033	0.9611536959	0.9611498293	0.9614522203	0.9668123811	0.8665857995	0.8666445979	0.866622333	0.8934619282	0.8923222955000001	0.9464006953	0.9469979309000001
