	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_000718455.1 | Streptomyces globisporus NRRL B-2709 - ST 283:755
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	1	265537	332022
GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	265537	1	337524
GCF_000718455.1 | Streptomyces globisporus NRRL B-2709 - ST 283:755	332022	337524	1
