	GCF_000718375.1 | Streptomyces sp. NRRL F-2305 - ST 282:645	GCF_001279005.1 | Streptomyces caelestis NRRL B-24567 - ST 282:646	GCF_001279455.1 | Streptomyces sp. XY152 - ST 356:647
GCF_000718375.1 | Streptomyces sp. NRRL F-2305 - ST 282:645	1	1261	33237
GCF_001279005.1 | Streptomyces caelestis NRRL B-24567 - ST 282:646	1261	1	34076
GCF_001279455.1 | Streptomyces sp. XY152 - ST 356:647	33237	34076	1
