	GCF_000719785.1 | Streptomyces sp. NRRL S-1314 - ST 302:326	GCF_000721435.1 | Streptomyces sp. NRRL F-5527 - ST 315:327	GCF_014649895.1 | Streptomyces rubiginosus JCM 4416 - ST 709:328	GCF_016834575.1 | Streptomyces sp. S-9 - ST 93:329
GCF_000719785.1 | Streptomyces sp. NRRL S-1314 - ST 302:326	1	34995	46240	46833
GCF_000721435.1 | Streptomyces sp. NRRL F-5527 - ST 315:327	34995	1	44997	45650
GCF_014649895.1 | Streptomyces rubiginosus JCM 4416 - ST 709:328	46240	44997	1	27458
GCF_016834575.1 | Streptomyces sp. S-9 - ST 93:329	46833	45650	27458	1
