	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.8948126061	0.9276103277000001	0.527698393	0.9941395488	0.6390253184	0.9966030609000001	0.9870497403	0.2149902018	0.2149892656	0.6347457368	0.5884683807000001	0.5860175061	0.5883312394	0.588304794	0.5879608876	0.5884110434000001
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9180422986000001	1.0	0.8703539521	0.535636333	0.9204578755	0.6423654334000001	0.9274733853	0.9180575453	0.2211545284	0.2211542883	0.6387601359	0.5948365167	0.5931670662	0.5947326712000001	0.5947216264	0.5918520108	0.5948457607000001
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	0.9784256875	0.8948033032	1.0	0.5219405761	0.9924223247	0.6352733227	1.0013692765	0.9900382482000001	0.21549294260000001	0.2154487565	0.6319329496	0.5848981664	0.5824138688	0.5848694084	0.5846184854	0.5847130289	0.5849350704
GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	0.6230384264000001	0.6164083195	0.5842353769	1.0	0.6196583015	0.6447419066	0.6237822584	0.6200336714	0.2490286942	0.2491714093	0.6301450334	0.5630140612	0.5630201401	0.5629509239	0.5628499319	0.5703911777	0.5629817327000001
GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	1.0025427475	0.9047505764	0.9488330479	0.5292718052000001	1.0	0.6441338268	1.0145930672	1.0071126836	0.21667906890000002	0.2166793049	0.6397833779000001	0.5935310512	0.5906594269000001	0.5934705152	0.5934450264000001	0.5924212247	0.5934568267
GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	0.6771277379	0.6634437456000001	0.6381913105	0.5786412325	0.6768198661	1.0	0.6774873144	0.6727903778000001	0.23226333300000002	0.2323714539	0.6991940776000001	0.6129912	0.6132695618	0.6128608846	0.6126483625	0.6145521339000001	0.6127277173
GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	0.9868724821	0.8951785777	0.9400929898	0.5231699364	0.9962656682000001	0.6331220673	1.0	0.9941030281000001	0.21285575110000002	0.2128552876	0.6290220426	0.5825680356	0.5802907977	0.5824788139	0.5825863434	0.5819854298	0.5824665315
GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	0.9890216664	0.8966151516	0.9404949530000001	0.5262025891000001	1.0006663235	0.6362004903	1.0059104995	1.0	0.2142371399	0.21423831240000002	0.6310234978	0.5850754319	0.5826358412	0.5850907914	0.5849355543	0.5845596555	0.5850304084
GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	0.2473119018	0.2479656871	0.23501583780000002	0.24263121880000002	0.2471654496	0.2521473826	0.24727084670000002	0.24595425740000001	1.0	1.0038222953	0.2470121324	0.24844448360000002	0.24693500270000002	0.2483761033	0.2483590082	0.24650533770000002	0.24841042800000002
GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	0.24731435370000002	0.24796895600000002	0.2349710012	0.24277373160000001	0.2471692455	0.2522683592	0.2472738364	0.2459591129	1.0038366184	1.0	0.24712751670000002	0.2485830411	0.2471541693	0.2484997183	0.2486667677	0.2465753517	0.2485382164
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	0.6910341986	0.6778084126	0.6522415745	0.5810469212	0.6906804324	0.7183646447	0.6915551025000001	0.6856121614	0.23377156440000002	0.2338774267	1.0	0.6349148012	0.6317123062000001	0.6348760742	0.6349127629	0.6356762202	0.6349164573
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	0.6262214347	0.6169810428	0.5900961558	0.5074520093	0.6263148261	0.6156111781	0.6260551980000001	0.6213694413	0.2298305756	0.22995547100000002	0.6206124731	1.0	0.9440535842000001	1.0061131505	1.012870826	0.9118674291000001	1.0167347386
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	0.6390321950000001	0.6304615149	0.6021179665	0.5200043997	0.6386953293000001	0.6311186583	0.6390267082000001	0.6340778448000001	0.2340822343	0.2342866505	0.6327493945	0.9673953557	1.0	0.9673131809000001	0.9687124495	0.9350588003	0.9670752057
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	0.6217557254	0.6126170544	0.5859958214000001	0.5038941992	0.6219299661000001	0.6112336402	0.6216403482	0.6170983421	0.22818197950000002	0.2282922866	0.6162928035	0.9991712128	0.9374602038000001	1.0	0.9945840699	0.9045146148000001	1.0120165485
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	0.6261062939	0.6169199513	0.5898695187	0.5073518387	0.6262830070000001	0.6153248010000001	0.6261338158	0.6212793731	0.22977313470000002	0.2300545806	0.6206689096	1.0129661852	0.9454278998000001	1.0015884256	1.0	0.9131063352000001	1.0189394373
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	0.6247863775	0.6130072975	0.5890655371	0.5133657058000001	0.6242494613	0.61629594	0.6245344571	0.6199336154	0.22771051890000002	0.2277719447	0.6204679203	0.9105630482	0.9111919787	0.9094960548000001	0.9117143467000001	1.0	0.9103678286
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	0.6262784888	0.6171069717000001	0.5902446643	0.5075185516	0.626354586	0.6154625999000001	0.6260641463000001	0.6214387824000001	0.2298424028	0.22995735820000002	0.6207311159000001	1.0169264557	0.9439191123	1.019239885	1.0190356307	0.9118438361000001	1.0
