	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	1	260113	415721	226535	417938	222241	354203	510065	267139	34049	236278	220648	268534	229081	339465	182238	220907	235242	228517	226294	229248	417969	309077	543770	357288	418464	339470	340559	337731	265537	421790	544287	266462	501526	225806	535221	543434	324500	332734	224170	413669	556376	417969	339186	416333	226946	404250	304608	335278	543595	334748	335130	545267	543273	420029	340511	543027	415728	228166	224018	217739	217003	216375	251387	253710	255688	260336	217564	417969	414863	413428	556084	538101	337891	339186
GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	260113	1	359684	259099	357917	255978	261727	405857	267066	260756	254077	254386	268711	258248	191942	253374	255992	258365	257091	259944	260448	356138	174895	425849	259602	354583	176088	187782	188961	267443	364517	427185	267723	403118	260119	422819	425304	170388	185535	201678	356890	436975	356138	191231	357323	254021	351874	164053	175473	426019	175233	175101	427694	423403	364853	188687	425625	358639	258500	201880	249360	249528	249053	262025	262086	263546	264948	247678	356138	357233	356575	436961	427233	189180	191231
GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	415721	359684	1	420300	94347	423161	412439	385066	417581	419186	390831	417701	418273	415971	416148	415709	415592	417430	412801	416395	418415	91879	405465	410569	412722	244218	417153	419547	415238	414673	393225	411895	421774	395924	417617	405729	413212	418902	416393	202526	118612	434597	91879	419539	92382	411724	231106	391205	416651	411826	414116	416149	410462	410891	393765	419741	412048	392205	420445	202871	412563	410845	406008	414328	415591	420260	419258	409742	91879	91310	118364	434370	414628	416845	419539
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	226535	259099	420300	1	421030	148908	354070	511610	258842	228446	231234	148644	259394	127276	337527	215243	148575	181110	176103	115811	33202	421148	303618	545222	359663	418796	335805	336074	336049	258560	426851	543959	260016	501283	32530	530978	543006	323794	330239	223541	415860	558123	421148	339853	418403	171914	409016	304018	331582	544242	334295	331506	544711	544523	427830	337749	543131	416327	33030	223933	146549	146709	146940	250869	253326	255175	256299	146696	421148	417768	415644	557898	541006	334590	339853
GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	417938	357917	94347	421030	1	422026	408937	384957	417981	417502	388681	418410	412721	416103	416659	417361	419178	420532	414063	420097	420732	53558	405543	414366	409972	246554	415767	417604	415917	415552	393729	413662	419262	406420	419277	405708	413605	418370	414585	204734	109450	436872	53558	417088	55259	416256	238341	391149	419135	415747	415180	418771	414006	414275	395074	418565	413839	391968	421610	204978	413892	411022	407166	410794	411863	415752	416450	409781	53558	54554	109132	436729	420338	416514	417088
GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	222241	255978	423161	148908	422026	1	350356	509243	265222	224795	234133	85864	263860	146814	329735	216053	91400	177973	172570	147608	149232	419542	298386	539641	354339	420121	330848	330919	327696	260034	427796	540618	266612	499842	148525	532285	538350	321994	322753	224401	412365	554665	419542	331610	417307	169715	409790	300128	333225	538605	330396	332400	538910	538918	424128	330421	538455	417818	149735	224812	91705	89013	89851	260679	262535	264914	263419	89304	419542	416344	412238	554439	536556	328633	331610
GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	354203	261727	412439	354070	408937	350356	1	491677	364188	354711	327082	348610	362671	351675	347944	339348	348964	356138	349866	353160	357163	409653	312438	520640	53142	410665	343790	338970	341986	363993	400464	521847	366198	482674	355515	516349	518209	325152	332732	207824	405392	528605	409653	344041	410480	347736	401581	300071	336886	521442	338889	336639	522272	519286	403760	341607	518362	396699	355183	208474	339772	338810	336432	345876	346785	350588	352505	338377	409653	409638	405113	528484	517471	337135	344041
GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	510065	405857	385066	511610	384957	509243	491677	1	507423	512624	458553	508586	508421	506548	511155	509273	508172	518193	509539	519924	512904	383300	473303	231826	493136	390724	511502	518536	511147	511040	386906	235173	515055	204591	513691	188094	233881	519958	503527	207256	377422	472456	383300	514272	386703	505903	379658	482345	520405	234612	514736	519919	234476	232125	381677	511855	232958	384055	514076	207425	498270	495334	495875	507691	510317	513951	512593	492910	383300	385829	377265	472341	236577	515920	514272
GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	267139	267066	417581	258842	417981	265222	364188	507423	1	265515	39522	263100	44017	265180	351017	242184	262302	271342	265846	260565	259429	417431	312889	542385	366457	419660	346745	349150	349020	28469	423746	545035	42440	502992	258864	529595	543118	332792	338987	220656	410250	557359	417431	350657	418365	263561	406938	307856	342053	546011	342798	341729	544911	543324	423103	347108	543481	408176	259968	221023	252905	251980	255068	152480	153692	154857	156188	252861	417431	417354	409980	557150	535200	344711	350657
GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	34049	260756	419186	228446	417502	224795	354711	512624	265515	1	235016	221566	269221	232244	341960	182603	220773	236850	229981	229405	227467	417948	311698	545698	355365	418804	338389	344231	339495	266286	421088	547161	270142	504110	229057	536416	544802	327661	335852	223261	410920	558603	417948	343508	414260	226533	403364	305478	333528	544836	334064	333361	548542	543752	417895	343408	544729	414845	227328	223971	220476	218862	216892	258055	259757	262581	261034	218807	417948	412919	410760	558328	538269	339883	343508
GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	236278	254077	390831	231234	388681	234133	327082	458553	39522	235016	1	229512	36160	234274	312922	216013	230023	243400	236896	230350	230826	388253	277802	490715	330113	390705	308668	310354	309986	37013	399611	491915	32404	458754	230520	479896	491215	299931	304452	207503	386673	499279	388253	311215	388702	236179	379446	276904	305048	492484	306792	304730	491226	490550	398573	308783	491210	383534	231571	208003	228688	228194	227640	139208	139919	141129	143320	228513	388253	388250	386524	499176	483846	306544	311215
GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	220648	254386	417701	148644	418410	85864	348610	508586	263100	221566	229512	1	259163	146569	327897	214736	85659	176349	172056	145872	148339	418120	298930	543150	350264	415507	331032	329939	327470	258701	425155	546189	263383	498806	149020	531220	543479	318788	327132	226882	409808	557099	418120	329173	416502	169619	408061	301513	330881	544017	329495	330222	542748	542997	424566	334869	542396	416254	150292	227358	88685	88488	85467	254368	256374	257957	258532	89141	418120	415309	409663	556993	539788	327566	329173
