	GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367
GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	1.0	0.9999323003	0.9999323003	0.9999093048000001	0.999944433	1.0	0.9756405279	0.9999114374	0.9953902026	0.9999481889
GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	0.9999323003	1.0	1.0	0.9998653593000001	0.9999015976000001	0.9999323003	0.9756092906	0.999867554	0.9953706553	0.9999055766
GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	0.9999323003	1.0	1.0	0.9998653593000001	0.9999015976000001	0.9999323003	0.9756092906	0.999867554	0.9953706553	0.9999055766
GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	0.9999093048000001	0.9998653593000001	0.9998653593000001	1.0	0.9998921038	0.9999093048000001	0.9758511324	1.0	0.9953899828	0.9998923933
GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	0.999944433	0.9999015976000001	0.9999015976000001	0.9998921038	1.0	0.999944433	0.9757206552000001	0.9998946082000001	0.9954051063	1.0
GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	1.0	0.9999323003	0.9999323003	0.9999093048000001	0.999944433	1.0	0.9756405279	0.9999114374	0.9953902026	0.9999481889
GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	0.9756405279	0.9756092906	0.9756092906	0.9758511324	0.9757206552000001	0.9756405279	1.0	0.9758819506	0.9761038430000001	0.9757627458
GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	0.9999114374	0.999867554	0.999867554	1.0	0.9998946082000001	0.9999114374	0.9758819506	1.0	0.9953935012	0.9998948416000001
GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	0.9953902026	0.9953706553	0.9953706553	0.9953899828	0.9954051063	0.9953902026	0.9761038430000001	0.9953935012	1.0	0.9954082309000001
GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367	0.9999481889	0.9999055766	0.9999055766	0.9998923933	1.0	0.9999481889	0.9757627458	0.9998948416000001	0.9954082309000001	1.0
