	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_008016805.1 | Streptomyces lavendulae YAKB-15 - ST 589:741	GCF_000718155.1 | Streptomyces lavendulae NRRL B-2774 - ST 184:759
GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	1	236278	532470
GCF_008016805.1 | Streptomyces lavendulae YAKB-15 - ST 589:741	236278	1	239307
GCF_000718155.1 | Streptomyces lavendulae NRRL B-2774 - ST 184:759	532470	239307	1
