	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	8545929	7716100	7931214	5062574	8496871	5962827	8517354	8435699	2144576	2144538	5936576	5574887	5551625	5573214	5573038	5568031	5574250
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	7716100	8329687	7316266	5011101	7737261	5839833	7797059	7717683	2150150	2150204	5820187	5491331	5476531	5490091	5490018	5462231	5491271
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	7931214	7316266	8102089	4738592	8045025	5607610	8117332	8025268	2035875	2035450	5591589	5243262	5220670	5242871	5240286	5239722	5243513
GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	5062574	5011101	4738592	7238194	5037094	5219964	5068381	5037250	2107534	2108842	5108844	4585368	4584434	4584724	4583756	4645987	4585130
GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	8496871	7737261	8045025	5037094	8474298	5961006	8599063	8535625	2143405	2143380	5933755	5577045	5548989	5576138	5575985	5564047	5576055
GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	5962827	5839833	5607610	5219964	5961006	8065044	5965786	5924468	2186921	2188054	6127020	5464652	5466105	5463239	5461515	5477899	5462250
GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	8517354	7797059	8117332	5068381	8599063	5965786	8630192	8579789	2144118	2144085	5941606	5573596	5551496	5572359	5573644	5565791	5572424
GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66	8435699	7717683	8025268	5037250	8535625	5924468	8579789	8528890	2132765	2132739	5890317	5531635	5508394	5531518	5530096	5525009	5531002
GCF_000718525.1 | Streptomyces griseus NRRL B-2621 - ST 284:217	2144576	2150150	2035875	2107534	2143405	2186921	2144118	2132765	7429044	7458852	2143270	2153997	2140602	2153270	2153078	2137200	2153662
GCF_000721035.1 | Streptomyces griseus NRRL B-2621 - ST 284:218	2144538	2150204	2035450	2108842	2143380	2188054	2144085	2132739	7458852	7428938	2144290	2155233	2142535	2154389	2155800	2137667	2154815
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	5936576	5820187	5591589	5108844	5933755	6127020	5941606	5890317	2143270	2144290	7849817	5503921	5475035	5503742	5503899	5509347	5503812
GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	5574887	5491331	5243262	4585368	5577045	5464652	5573596	5531635	2153997	2155233	5503921	8030720	7663997	8081282	8135936	7420593	8166644
GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	5551625	5476531	5220670	4584434	5548989	5466105	5551496	5508394	2140602	2142535	5475035	7663997	7836951	7663551	7675423	7424880	7661450
GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	5573214	5490091	5242871	4584724	5576138	5463239	5572359	5531518	2153270	2154389	5503742	8081282	7663551	8086515	8044388	7412058	8185179
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	5573038	5490018	5240286	4583756	5575985	5461515	5573644	5530096	2153078	2155800	5503899	8135936	7675423	8044388	8029964	7430246	8183840
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	5568031	5462231	5239722	4645987	5564047	5477899	5565791	5525009	2137200	2137667	5509347	7420593	7424880	7412058	7430246	8042224	7418879
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	5574250	5491271	5243513	4585130	5576055	5462250	5572424	5531002	2153662	2154815	5503812	8166644	7661450	8185179	8183840	7418879	8029206
