	GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142
GCF_000403665.1 | Streptomyces lividans 1326 - ST 254:125	1.0	0.9361093085000001	1.0053168489	0.9354316385	0.8632894507000001	0.808494224	0.9245165394	0.9387139477	0.9388797756	0.9384931577000001	0.9386494526	0.9386276796	0.9411499345000001	0.9411484045	0.8464958769	0.9216689840000001	0.9229774825	0.9352859360000001
GCF_000717845.1 | Streptomyces violaceoruber NRRL S-12 - ST 276:126	0.9368584193	1.0	0.9328135277	0.9622952642	0.873488098	0.8182863587	0.9414033127	0.9419855293	0.9419494867	0.9417891799	0.9418210999000001	0.9419239272000001	0.9428378293	0.9428527881000001	0.8629628522	0.9238045420000001	0.9230767419	0.9403551344000001
GCF_000972395.1 | Streptomyces sp. WM6391 - ST 254:127	0.9980899211	0.9253672903	1.0	0.9242106333000001	0.8532832220000001	0.8002375476	0.9153256756	0.9293783743	0.9292766016	0.9292846639000001	0.9293233399	0.9292921421	0.9300794493000001	0.9300695174	0.8340723638	0.9094812804	0.9092347357	0.9275777799
GCF_003013745.1 | Streptomyces sp. 111WW2 - ST 485:128	0.9248602669	0.9506595506000001	0.9203824302	1.0	0.8587487005000001	0.8013745127	0.9258472481000001	0.930765398	0.9308114773	0.9306813847000001	0.9307724961	0.9306830138000001	0.9310411756	0.9310424556	0.842048797	0.9112531450000001	0.9107942138	0.9267928045
GCF_003112595.1 | Streptomyces rubrogriseus NBRC 15455 - ST 491:129	0.8676174483	0.8771652837	0.863770447	0.8729188443	1.0	0.7898108873	0.8735298887	0.8763231164	0.8762791155	0.8763020622000001	0.8762782876	0.8762098023	0.87743473	0.8774244394	0.9273405953	0.8581907336	0.8583060585000001	0.8766003693000001
GCF_003671755.1 | Streptomyces sp. E5N91 - ST 514:130	0.8069686620000001	0.8160892536000001	0.8045109585	0.8090050013000001	0.7843881438	1.0	0.81441989	0.8185240505	0.8184197373000001	0.8184222041	0.8184051710000001	0.8184781198000001	0.8189916978	0.8189759569	0.7778241653	0.80255908	0.8022799717	0.8167502562000001
GCF_004795155.1 | Streptomyces sp. LRa12 - ST 571:131	0.9459504829000001	0.9624585618	0.9433278458000001	0.9581400435	0.8893232455000001	0.8348767021	1.0	0.9622409621	0.9621517305	0.9619542409	0.9620915203	0.9620874260000001	0.9631285812	0.9631267749	0.8731151339000001	0.9424357710000001	0.9412741953	0.9588122304000001
GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168:132	0.929027496	0.9315198804	0.9264482194	0.931690054	0.8629541499000001	0.8116092606	0.9307336577	1.0	0.9992996211	0.9997482922	0.9997690252	1.0022014238	1.0104767969	1.0081338531	0.8450216316	0.9887510741000001	0.9848890314000001	0.9302123046
GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168:133	0.9297705701000001	0.9320646242	0.9269239524	0.9323167219	0.8634484797	0.8120114587	0.9312272123	0.9999222611	1.0	0.9999058276	0.9999304196000001	1.0023411403	1.0109663081	1.0062865916	0.8458131794	0.989205137	0.9853697089000001	0.9318403819000001
GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168:134	0.9289468329	0.9314639346	0.9264922888	0.9317442209000001	0.8630614886	0.811628714	0.9305944179000001	0.9998966692000001	0.9994315057000001	1.0	0.9998917764	1.0022192247	1.0105587332	1.0082154416	0.8453127004000001	0.9886648294	0.9849717133	0.9291292636
GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168:135	0.9290751292	0.9314690279000001	0.9265045129	0.9318089499000001	0.8630135422	0.8115887531	0.930700767	0.9998889837	0.9994276776000001	0.9998633556000001	1.0	1.0022259181	1.0103812496	1.0057040025	0.8458831290000001	0.9887204850000001	0.9848268757	0.9302424897
GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168:136	0.928987781	0.9315047494	0.9264077952	0.931653382	0.8628849783	0.811603611	0.9306308927	1.0022506879	1.0017662343	1.0021197608	1.0021549387	1.0	1.0129630628	1.008286147	0.8458512946000001	0.9910649253	0.9873743889000001	0.9302093401
GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168:137	0.9225931001000001	0.9235086870000001	0.9183425892	0.9231158476	0.8558435122	0.8043612443	0.9227455056	1.0008809755	1.0007422992	1.0008135987	1.0006662695	1.0032943132	1.0	1.0022957743	0.8397982432000001	0.9777311396	0.9812087778	0.9233129018
GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168:138	0.9226083117	0.9235400675000001	0.9183494170000001	0.9231338377	0.8558489771000001	0.8043603541000001	0.9227604893	0.9985783686	0.9961279524000001	0.9985109905	0.9960520366000001	0.9986801280000001	1.0023139295	1.0	0.8398036483	0.9754124225	0.9789152752	0.9233555854000001
GCF_010550325.1 | Streptomyces rubrogriseus SID7739 - ST 657:139	0.8165988899000001	0.8318186225	0.8104401737	0.821593757	0.8901257538	0.7517710922	0.8231931272	0.8236761059000001	0.8239342849	0.8238375529	0.824416923	0.824444285	0.8264327403	0.8264230898	1.0	0.8039497075	0.8039777507	0.8284003051000001
GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168:140	0.9238204576000001	0.9252206035	0.9182050104	0.9238204576000001	0.8559030616000001	0.80595328	0.9232315682000001	1.0013923601	1.0012283865	1.0011564268	1.0012412448	1.003686457	0.9997252557	0.9973363136000001	0.8353289747	1.0	0.9959204782000001	0.9234331732000001
GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168:141	0.913481077	0.9128488183000001	0.9063955393	0.9117266406000001	0.845237553	0.7955265016	0.9104809930000001	0.9849188588000001	0.984785954	0.9848553766	0.9847385462	0.9873557572	0.9906459953000001	0.988312532	0.824837774	0.9833780484	1.0	0.9115515697000001
GCF_018070145.1 | Streptomyces sp. RK76 - ST 762:142	0.8972720876	0.9014139069	0.8963206084	0.8992870511000001	0.8367766635	0.7850354803	0.8989998121	0.9017092753	0.9027249994000001	0.9005257693000001	0.9016303523	0.9016620796	0.9036021848	0.9036275892000001	0.8238270848	0.883837906	0.8835935722	1.0
