	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300
GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	1	209688	154666	212188
GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	209688	1	194634	945
GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	154666	194634	1	198327
GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	212188	945	198327	1
