	GCF_006716135.1 | Streptomyces asterosporus DSM 41452 - ST 582:738	GCF_014138735.1 | Streptomyces calvus CECT 3271 - ST 688:739	GCF_014649315.1 | Streptomyces calvus JCM 4326 - ST 688:740
GCF_006716135.1 | Streptomyces asterosporus DSM 41452 - ST 582:738	1	61883	62149
GCF_014138735.1 | Streptomyces calvus CECT 3271 - ST 688:739	61883	1	1054
GCF_014649315.1 | Streptomyces calvus JCM 4326 - ST 688:740	62149	1054	1
