	GCF_002188335.1 | Streptomyces sp. CS159 - ST 440:221	GCF_003112555.1 | Streptomyces coelicoflavus NBRC 15399 - ST 490:222	GCF_010548385.1 | Streptomyces coelicoflavus SID14163 - ST 649:223	GCF_010548435.1 | Streptomyces coelicoflavus SID14172 - ST 650:224	GCF_010993835.1 | Streptomyces sp. OM5714 - ST 663:225	GCF_011317205.1 | Streptomyces sp. KO7888 - ST 669:226
GCF_002188335.1 | Streptomyces sp. CS159 - ST 440:221	1	76404	196852	66501	219640	219962
GCF_003112555.1 | Streptomyces coelicoflavus NBRC 15399 - ST 490:222	76404	1	203270	80766	220952	230312
GCF_010548385.1 | Streptomyces coelicoflavus SID14163 - ST 649:223	196852	203270	1	195113	226897	227202
GCF_010548435.1 | Streptomyces coelicoflavus SID14172 - ST 650:224	66501	80766	195113	1	206362	213683
GCF_010993835.1 | Streptomyces sp. OM5714 - ST 663:225	219640	220952	226897	206362	1	77000
GCF_011317205.1 | Streptomyces sp. KO7888 - ST 669:226	219962	230312	227202	213683	77000	1
