	GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106
GCF_000738715.1 | Streptomyces scabiei NCPPB 4066 - ST 327:97	1	12453	259872	53992	46534	9565	15226	47637	36026	47892
GCF_001005405.1 | Streptomyces scabiei NRRL B-16523 - ST 327:98	12453	1	240951	45451	37855	3393	9827	39115	30029	41175
GCF_001485125.1 | Streptomyces scabiei S58 - ST 381:99	259872	240951	1	243309	240064	240559	214603	243186	213545	236707
GCF_001550215.1 | Streptomyces scabiei 85-08 - ST 392:100	53992	45451	243309	1	37659	45315	39800	42188	35120	36051
GCF_001550225.1 | Streptomyces scabiei 95-18 - ST 393:101	46534	37855	240064	37659	1	38301	35992	36714	32472	9051
GCF_001550245.1 | Streptomyces scabiei 84-34 - ST 327:102	9565	3393	240559	45315	38301	1	8837	38943	29814	40053
GCF_001550295.1 | Streptomyces scabiei 96-15 - ST 394:103	15226	9827	214603	39800	35992	8837	1	39312	33236	38425
GCF_001572115.1 | Streptomyces scabiei 84-232 - ST 395:104	47637	39115	243186	42188	36714	38943	39312	1	15325	35718
GCF_001579685.1 | Streptomyces scabiei 96-06 - ST 396:105	36026	30029	213545	35120	32472	29814	33236	15325	1	31074
GCF_003584815.1 | Streptomyces scabiei ST129 - ST 393:106	47892	41175	236707	36051	9051	40053	38425	35718	31074	1
