	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	7145211	6388947	5803989	6053130	6537788	5729156	6006832	5990279	6565247	6613911	6467767	5823368	5918345	5914695	5951001	6033711	6052733	6359051	6484897	5669762	6493688	6469308	6598829	6571442	6638998	6576515	6536788	6517631	6477893	6507404	6475668	6466427	6501654	6484665	6492828	6493652	5927125	6716780	6494861	6577434	5774220	5973819	6096750	6387251	6045212	6551943	6554793	5915250	5760528	6309617	6436346	6247282	5732814	6514017	6547216	6629432	6507741
GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	6388947	6841649	5745091	5922687	6449230	5626469	5905087	5904709	6457193	6486103	6372038	5717442	5813912	5813646	5871952	5926168	5944455	6221696	6449255	5573620	6396876	6466100	6506534	6479187	6539993	6434680	6423394	6430189	6435084	6408099	6440011	6362805	6432028	6403304	6390136	6387534	5846357	6521557	6412820	6427370	5718229	5905122	6001106	6981882	5973774	6480556	6484775	5894513	5716943	6195648	6323490	6140475	5637719	6432054	6367283	6386984	6453914
GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	5803989	5745091	7106149	5937846	5874155	6479428	5926587	5869030	5928952	5910823	5901841	5617561	5713484	5711565	5716448	5390994	5412933	5688807	5844870	6499575	5900921	5796913	5924813	5884911	5952094	5917916	5880750	5885939	5874065	5895641	5877793	5891767	5892020	5858561	5856612	5855546	5605664	5941154	5887670	5898944	6607544	5880048	5877969	5745283	5964582	5930767	5931746	5654439	6590206	5678571	5791346	5627865	6453955	5872929	5866066	5852668	5877114
GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	6053130	5922687	5937846	7341200	6103200	5904840	6832034	6243122	6166989	6177300	6101362	5772645	5885934	5885864	6012809	5587933	5612280	5966828	6058236	5800319	6109899	6086205	6171499	6129352	6180086	6201127	6128697	6104364	6105457	6196597	6111569	6117451	6168553	6108974	6105694	6106006	5968649	6162588	6081429	6166096	5972187	6508503	6060395	5922525	6598610	6129960	6130413	5936991	5901638	5957587	6080698	5901505	5861506	6099034	6138542	6074647	6099588
GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	6537788	6449230	5874155	6103200	6992994	5825951	6106074	6093307	6690734	6735927	6541846	5935991	6038873	6036422	6065596	6048192	6076351	6390422	6543468	5731444	6581066	6615534	6754912	6776623	6683355	6868039	6826064	6561511	6529911	6560592	6536930	6568383	6564340	6553211	6611268	6598586	6045330	6689956	6606143	6687812	5827191	6026186	6242554	6441761	6106315	6826467	6828030	6027582	5824148	6364164	6496041	6303355	5819254	6571217	6769709	6538311	6592248
GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	5729156	5626469	6479428	5904840	5825951	7037644	5915403	5842529	5852764	5812390	5822552	5626060	5766317	5765598	5701027	5300992	5325765	5646259	5770142	6372681	5818449	5697559	5824846	5837999	5912284	5903661	5855479	5802537	5788106	5845886	5788154	5872322	5820895	5770643	5810614	5810606	5619687	5847298	5814750	5859674	6617923	5865056	5898166	5626577	5858636	5864381	5865898	5615626	6536879	5611721	5721874	5560742	6528781	5800982	5848581	5779630	5789137
GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	6006832	5905087	5926587	6832034	6106074	5915403	7207169	6260654	6125793	6120602	6077133	5741157	5842829	5838117	6022153	5551347	5578498	5916680	6022414	5782785	6105153	6014888	6200802	6142951	6167775	6143088	6132316	6090626	6086415	6083036	6091746	6098996	6094783	6101738	6105437	6103568	5939683	6123905	6083422	6126666	5940707	6438999	6031402	5903889	6559135	6134632	6135270	5947753	5938133	5855548	5976183	5801042	5898628	6079861	6086414	6055089	6095875
GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	5990279	5904709	5869030	6243122	6093307	5842529	6260654	6830045	6119508	6085866	6057577	5685734	5782886	5780078	6092900	5541909	5563109	5883102	6027990	5735655	6107496	5977934	6081077	6112060	6086360	6111801	6102470	6085220	6067539	6056184	6071133	6081931	6079656	6067941	6093345	6090093	5996837	6092098	6086053	6118907	5824670	6210186	5973804	5904866	6251197	6112464	6111365	6005157	5826519	5795787	5912001	5740771	5839222	6075614	6072210	6046007	6057925
GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	6565247	6457193	5928952	6166989	6690734	5852764	6125793	6119508	7258031	6688727	6613542	5985824	6098861	6108649	6073595	6067908	6088085	6473236	6660307	5773213	6701781	6563704	6701268	6734766	6759380	6784956	6668350	6631618	6615558	6653273	6620454	6636798	6667725	6639413	6647181	6635316	6057787	6789664	6714802	7264461	5953184	6068487	6301609	6457304	6163965	6715811	6718702	6078783	5894084	6454108	6586820	6394022	5853778	6717132	6708903	6586470	6594667
GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	6613911	6486103	5910823	6177300	6735927	5812390	6120602	6085866	6688727	7151148	6600756	5962613	6060009	6057596	6063176	6095095	6123223	6424891	6573313	5766463	6540313	6825962	6955981	6762398	6711783	6732642	6748898	6592080	6555954	6588756	6554785	6553315	6584559	6585140	6582226	6581076	6055122	6703555	6580974	6688426	5859771	6110921	6241566	6487721	6155745	6784531	6787984	6026773	5858862	6427569	6560646	6371173	5822397	6614758	6670444	6573566	6644416
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	6467767	6372038	5901841	6101362	6541846	5822552	6077133	6057577	6613542	6600756	6952079	5965346	6068286	6066139	5991930	5991012	6018149	6393305	6516636	5773891	6525326	6445227	6586195	6576347	6610560	6579224	6574034	6547355	6491149	6564257	6498028	6497876	6506316	6506367	6538774	6537251	5978336	6638888	6513581	6618066	5872013	6047670	6287295	6371427	6120724	6567250	6572570	6016443	5859304	6316260	6448671	6257905	5809811	6596807	6545551	6499110	6532626
