	GCF_003048205.2 | Streptomyces chartreusis WZS021 - ST 488:229	GCF_003947555.1 | Streptomyces sp. WAC 05379 - ST 527:230	GCF_008704715.1 | Streptomyces chartreusis ATCC 14922 - ST 604:231	GCF_013375055.1 | Streptomyces chartreusis NA02069 - ST 682:232	GCF_014650315.1 | Streptomyces chartreusis JCM 4570 - ST 604:233	GCF_018530775.1 | Streptomyces sp. Tu102 - ST 771:234	GCF_900105465.1 | Streptomyces sp. PAN_FS17 - ST 798:235
GCF_003048205.2 | Streptomyces chartreusis WZS021 - ST 488:229	1	148367	146491	97610	149448	158545	342081
GCF_003947555.1 | Streptomyces sp. WAC 05379 - ST 527:230	148367	1	130107	145158	131516	82643	308855
GCF_008704715.1 | Streptomyces chartreusis ATCC 14922 - ST 604:231	146491	130107	1	145374	701	135510	338497
GCF_013375055.1 | Streptomyces chartreusis NA02069 - ST 682:232	97610	145158	145374	1	145593	154977	338907
GCF_014650315.1 | Streptomyces chartreusis JCM 4570 - ST 604:233	149448	131516	701	145593	1	139501	341795
GCF_018530775.1 | Streptomyces sp. Tu102 - ST 771:234	158545	82643	135510	154977	139501	1	325866
GCF_900105465.1 | Streptomyces sp. PAN_FS17 - ST 798:235	342081	308855	338497	338907	341795	325866	1
