	GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367
GCF_000177195.2 | Streptomyces sp. SirexAA-E - ST 241:358	7414440	7385558	7385558	7343278	7360490	7414440	6710285	7328146	7011588	7353635
GCF_000382745.1 | Streptomyces sp. DvalAA-83 - ST 241:359	7385558	7452860	7452860	7338049	7357544	7385558	6707103	7323739	7036417	7349873
GCF_009862105.1 | Streptomyces sp. SID8357 - ST 241:360	7385558	7452860	7452860	7338049	7357544	7385558	6707103	7323739	7036417	7349873
GCF_009862475.1 | Streptomyces sp. SID4940 - ST 241:361	7343278	7338049	7338049	7343669	7340387	7343278	6679278	7327645	7007783	7332254
GCF_009863165.1 | Streptomyces sp. SID4939 - ST 241:362	7360490	7357544	7357544	7340387	7363280	7360490	6698245	7325046	7038683	7354500
GCF_009865465.1 | Streptomyces sp. SID1 - ST 241:363	7414440	7385558	7385558	7343278	7360490	7414440	6710285	7328146	7011588	7353635
GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120:364	6710285	6707103	6707103	6679278	6698245	6710285	7531345	6664262	6667683	6690073
GCF_900091715.1 | Streptomyces sp. DpondAA-F4a - ST 241:365	7328146	7323739	7323739	7327645	7325046	7328146	6664262	7327645	6999025	7322290
GCF_900091875.1 | Streptomyces sp. BpilaLS-43 - ST 792:366	7011588	7036417	7036417	7007783	7038683	7011588	6667683	6999025	7385971	7004272
GCF_900095575.1 | Streptomyces sp. DpondAA-F4 - ST 241:367	7353635	7349873	7349873	7332254	7354500	7353635	6690073	7322290	7004272	7354500
